Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 61.31797,,,,,,Iteration 1: SSE = 57.6776,,,,,,Iteration 1: SSE = 62.70226
Iteration 2: SSE = 29.42783,,,,,,Iteration 2: SSE = 28.91479,,,,,,Iteration 2: SSE = 26.05486
Iteration 3: SSE = 26.93547,,,,,,Iteration 3: SSE = 27.87537,,,,,,Iteration 3: SSE = 19.89185
Iteration 4: SSE = 25.77426,,,,,,Iteration 4: SSE = 27.59178,,,,,,Iteration 4: SSE = 18.98787
Iteration 5: SSE = 24.14139,,,,,,Iteration 5: SSE = 27.5306,,,,,,Iteration 5: SSE = 18.6752
Iteration 6: SSE = 20.01219,,,,,,Iteration 6: SSE = 27.51022,,,,,,Iteration 6: SSE = 18.45363
Iteration 7: SSE = 19.90561,,,,,,,,,,,,Iteration 7: SSE = 18.31869
Iteration 8: SSE = 19.90561,,,,,,Run 2,,,,,,Iteration 8: SSE = 18.27344
,,,,,,-----,,,,,,Iteration 9: SSE = 18.2553
Run 2,,,,,,Iteration 1: SSE = 57.6776,,,,,,
-----,,,,,,Iteration 2: SSE = 28.91479,,,,,,Run 2
Iteration 1: SSE = 61.31797,,,,,,Iteration 3: SSE = 27.87537,,,,,,-----
Iteration 2: SSE = 29.42783,,,,,,Iteration 4: SSE = 27.59178,,,,,,Iteration 1: SSE = 62.70226
Iteration 3: SSE = 26.93547,,,,,,Iteration 5: SSE = 27.5306,,,,,,Iteration 2: SSE = 26.05486
Iteration 4: SSE = 25.77426,,,,,,Iteration 6: SSE = 27.51022,,,,,,Iteration 3: SSE = 19.89185
Iteration 5: SSE = 24.14139,,,,,,,,,,,,Iteration 4: SSE = 18.98787
Iteration 6: SSE = 20.01219,,,,,,Run 3,,,,,,Iteration 5: SSE = 18.6752
Iteration 7: SSE = 19.90561,,,,,,-----,,,,,,Iteration 6: SSE = 18.45363
Iteration 8: SSE = 19.90561,,,,,,Iteration 1: SSE = 57.6776,,,,,,Iteration 7: SSE = 18.31869
,,,,,,Iteration 2: SSE = 28.91479,,,,,,Iteration 8: SSE = 18.27344
Run 3,,,,,,Iteration 3: SSE = 27.87537,,,,,,Iteration 9: SSE = 18.2553
-----,,,,,,Iteration 4: SSE = 27.59178,,,,,,
Iteration 1: SSE = 61.31797,,,,,,Iteration 5: SSE = 27.5306,,,,,,Run 3
Iteration 2: SSE = 29.42783,,,,,,Iteration 6: SSE = 27.51022,,,,,,-----
