Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 46.08562,,,,,,Iteration 1: SSE = 52.18441,,,,,,Iteration 1: SSE = 48.16459
Iteration 2: SSE = 24.56432,,,,,,Iteration 2: SSE = 27.94714,,,,,,Iteration 2: SSE = 25.68703
Iteration 3: SSE = 21.29779,,,,,,Iteration 3: SSE = 22.227,,,,,,Iteration 3: SSE = 22.83865
Iteration 4: SSE = 20.46396,,,,,,Iteration 4: SSE = 21.07365,,,,,,Iteration 4: SSE = 22.34044
Iteration 5: SSE = 20.13521,,,,,,Iteration 5: SSE = 20.90953,,,,,,Iteration 5: SSE = 22.07821
Iteration 6: SSE = 19.58288,,,,,,Iteration 6: SSE = 20.81269,,,,,,Iteration 6: SSE = 22.02724
Iteration 7: SSE = 19.52805,,,,,,Iteration 7: SSE = 20.78276,,,,,,Iteration 7: SSE = 21.99786
Iteration 8: SSE = 19.50473,,,,,,Iteration 8: SSE = 20.76643,,,,,,Iteration 8: SSE = 21.99502
Iteration 9: SSE = 19.50085,,,,,,,,,,,,
,,,,,,Run 2,,,,,,Run 2
Run 2,,,,,,-----,,,,,,-----
-----,,,,,,Iteration 1: SSE = 52.18441,,,,,,Iteration 1: SSE = 48.16459
Iteration 1: SSE = 46.08562,,,,,,Iteration 2: SSE = 27.94714,,,,,,Iteration 2: SSE = 25.68703
Iteration 2: SSE = 24.56432,,,,,,Iteration 3: SSE = 22.227,,,,,,Iteration 3: SSE = 22.83865
Iteration 3: SSE = 21.29779,,,,,,Iteration 4: SSE = 21.07365,,,,,,Iteration 4: SSE = 22.34044
Iteration 4: SSE = 20.46396,,,,,,Iteration 5: SSE = 20.90953,,,,,,Iteration 5: SSE = 22.07821
Iteration 5: SSE = 20.13521,,,,,,Iteration 6: SSE = 20.81269,,,,,,Iteration 6: SSE = 22.02724
Iteration 6: SSE = 19.58288,,,,,,Iteration 7: SSE = 20.78276,,,,,,Iteration 7: SSE = 21.99786
Iteration 7: SSE = 19.52805,,,,,,Iteration 8: SSE = 20.76643,,,,,,Iteration 8: SSE = 21.99502
Iteration 8: SSE = 19.50473,,,,,,,,,,,,
Iteration 9: SSE = 19.50085,,,,,,Run 3,,,,,,Run 3
,,,,,,-----,,,,,,-----
Run 3,,,,,,Iteration 1: SSE = 52.18441,,,,,,Iteration 1: SSE = 48.16459
-----,,,,,,Iteration 2: SSE = 27.94714,,,,,,Iteration 2: SSE = 25.68703
Iteration 1: SSE = 46.08562,,,,,,Iteration 3: SSE = 22.227,,,,,,Iteration 3: SSE = 22.83865
Iteration 2: SSE = 24.56432,,,,,,Iteration 4: SSE = 21.07365,,,,,,Iteration 4: SSE = 22.34044
Iteration 3: SSE = 21.29779,,,,,,Iteration 5: SSE = 20.90953,,,,,,Iteration 5: SSE = 22.07821
Iteration 4: SSE = 20.46396,,,,,,Iteration 6: SSE = 20.81269,,,,,,Iteration 6: SSE = 22.02724
Iteration 5: SSE = 20.13521,,,,,,Iteration 7: SSE = 20.78276,,,,,,Iteration 7: SSE = 21.99786
Iteration 6: SSE = 19.58288,,,,,,Iteration 8: SSE = 20.76643,,,,,,Iteration 8: SSE = 21.99502
Iteration 7: SSE = 19.52805,,,,,,,,,,,,
Iteration 8: SSE = 19.50473,,,,,,Run 4,,,,,,Run 4
Iteration 9: SSE = 19.50085,,,,,,-----,,,,,,-----
,,,,,,Iteration 1: SSE = 52.18441,,,,,,Iteration 1: SSE = 48.16459
