Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 14.83031,,,,,,Iteration 1: SSE = 23.9389,,,,,,Iteration 1: SSE = 32.9365
Iteration 2: SSE = 9.726445,,,,,,Iteration 2: SSE = 11.23175,,,,,,Iteration 2: SSE = 10.51233
Iteration 3: SSE = 8.191883,,,,,,Iteration 3: SSE = 11.113,,,,,,Iteration 3: SSE = 7.279506
Iteration 4: SSE = 7.446003,,,,,,Iteration 4: SSE = 11.04706,,,,,,Iteration 4: SSE = 7.162465
Iteration 5: SSE = 7.250887,,,,,,Iteration 5: SSE = 10.95085,,,,,,Iteration 5: SSE = 7.126013
Iteration 6: SSE = 7.190676,,,,,,Iteration 6: SSE = 10.92804,,,,,,Iteration 6: SSE = 7.12275
Iteration 7: SSE = 7.177224,,,,,,Iteration 7: SSE = 10.9114,,,,,,
Iteration 8: SSE = 7.16677,,,,,,Iteration 8: SSE = 10.89502,,,,,,Run 2
Iteration 9: SSE = 7.153214,,,,,,Iteration 9: SSE = 10.89225,,,,,,-----
Iteration 10: SSE = 7.135696,,,,,,,,,,,,Iteration 1: SSE = 32.9365
Iteration 11: SSE = 7.12275,,,,,,Run 2,,,,,,Iteration 2: SSE = 10.51233
Iteration 12: SSE = 7.12275,,,,,,-----,,,,,,Iteration 3: SSE = 7.279506
,,,,,,Iteration 1: SSE = 23.9389,,,,,,Iteration 4: SSE = 7.162465
Run 2,,,,,,Iteration 2: SSE = 11.23175,,,,,,Iteration 5: SSE = 7.126013
-----,,,,,,Iteration 3: SSE = 11.113,,,,,,Iteration 6: SSE = 7.12275
Iteration 1: SSE = 14.83031,,,,,,Iteration 4: SSE = 11.04706,,,,,,
Iteration 2: SSE = 9.726445,,,,,,Iteration 5: SSE = 10.95085,,,,,,Run 3
Iteration 3: SSE = 8.191883,,,,,,Iteration 6: SSE = 10.92804,,,,,,-----
Iteration 4: SSE = 7.446003,,,,,,Iteration 7: SSE = 10.9114,,,,,,Iteration 1: SSE = 32.9365
Iteration 5: SSE = 7.250887,,,,,,Iteration 8: SSE = 10.89502,,,,,,Iteration 2: SSE = 10.51233
Iteration 6: SSE = 7.190676,,,,,,Iteration 9: SSE = 10.89225,,,,,,Iteration 3: SSE = 7.279506
Iteration 7: SSE = 7.177224,,,,,,,,,,,,Iteration 4: SSE = 7.162465
Iteration 8: SSE = 7.16677,,,,,,Run 3,,,,,,Iteration 5: SSE = 7.126013
Iteration 9: SSE = 7.153214,,,,,,-----,,,,,,Iteration 6: SSE = 7.12275
Iteration 10: SSE = 7.135696,,,,,,Iteration 1: SSE = 23.9389,,,,,,
Iteration 11: SSE = 7.12275,,,,,,Iteration 2: SSE = 11.23175,,,,,,Run 4
Iteration 12: SSE = 7.12275,,,,,,Iteration 3: SSE = 11.113,,,,,,-----
,,,,,,Iteration 4: SSE = 11.04706,,,,,,Iteration 1: SSE = 32.9365
Run 3,,,,,,Iteration 5: SSE = 10.95085,,,,,,Iteration 2: SSE = 10.51233
-----,,,,,,Iteration 6: SSE = 10.92804,,,,,,Iteration 3: SSE = 7.279506
Iteration 1: SSE = 14.83031,,,,,,Iteration 7: SSE = 10.9114,,,,,,Iteration 4: SSE = 7.162465
Iteration 2: SSE = 9.726445,,,,,,Iteration 8: SSE = 10.89502,,,,,,Iteration 5: SSE = 7.126013
Iteration 3: SSE = 8.191883,,,,,,Iteration 9: SSE = 10.89225,,,,,,Iteration 6: SSE = 7.12275
