Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 4815.923,,,,,,Iteration 1: SSE = 4815.923,,,,,,Iteration 1: SSE = 4815.923
Iteration 2: SSE = 2627.618,,,,,,Iteration 2: SSE = 2627.618,,,,,,Iteration 2: SSE = 2627.618
Iteration 3: SSE = 2352.176,,,,,,Iteration 3: SSE = 2352.176,,,,,,Iteration 3: SSE = 2352.176
Iteration 4: SSE = 2324.068,,,,,,Iteration 4: SSE = 2324.068,,,,,,Iteration 4: SSE = 2324.068
Iteration 5: SSE = 2316.089,,,,,,Iteration 5: SSE = 2316.089,,,,,,Iteration 5: SSE = 2316.089
Iteration 6: SSE = 2313.409,,,,,,Iteration 6: SSE = 2313.409,,,,,,Iteration 6: SSE = 2313.409
Iteration 7: SSE = 2308.357,,,,,,Iteration 7: SSE = 2308.357,,,,,,Iteration 7: SSE = 2308.357
Iteration 8: SSE = 2274.067,,,,,,Iteration 8: SSE = 2274.067,,,,,,Iteration 8: SSE = 2274.067
Iteration 9: SSE = 2200.202,,,,,,Iteration 9: SSE = 2200.202,,,,,,Iteration 9: SSE = 2200.202
Iteration 10: SSE = 2175.59,,,,,,Iteration 10: SSE = 2175.59,,,,,,Iteration 10: SSE = 2175.59
Iteration 11: SSE = 2166.575,,,,,,Iteration 11: SSE = 2166.575,,,,,,Iteration 11: SSE = 2166.575
Iteration 12: SSE = 2159.854,,,,,,Iteration 12: SSE = 2159.854,,,,,,Iteration 12: SSE = 2159.854
Iteration 13: SSE = 2155.212,,,,,,Iteration 13: SSE = 2155.212,,,,,,Iteration 13: SSE = 2155.212
Iteration 14: SSE = 2151.103,,,,,,Iteration 14: SSE = 2151.103,,,,,,Iteration 14: SSE = 2151.103
Iteration 15: SSE = 2147.863,,,,,,Iteration 15: SSE = 2147.863,,,,,,Iteration 15: SSE = 2147.863
Iteration 16: SSE = 2145.102,,,,,,Iteration 16: SSE = 2145.102,,,,,,Iteration 16: SSE = 2145.102
Iteration 17: SSE = 2140.56,,,,,,Iteration 17: SSE = 2140.56,,,,,,Iteration 17: SSE = 2140.56
Iteration 18: SSE = 2133.61,,,,,,Iteration 18: SSE = 2133.61,,,,,,Iteration 18: SSE = 2133.61
Iteration 19: SSE = 2123.608,,,,,,Iteration 19: SSE = 2123.608,,,,,,Iteration 19: SSE = 2123.608
Iteration 20: SSE = 2117.245,,,,,,Iteration 20: SSE = 2117.245,,,,,,Iteration 20: SSE = 2117.245
Iteration 21: SSE = 2113.424,,,,,,Iteration 21: SSE = 2113.424,,,,,,Iteration 21: SSE = 2113.424
Iteration 22: SSE = 2110.622,,,,,,Iteration 22: SSE = 2110.622,,,,,,Iteration 22: SSE = 2110.622
Iteration 23: SSE = 2108.284,,,,,,Iteration 23: SSE = 2108.284,,,,,,Iteration 23: SSE = 2108.284
Iteration 24: SSE = 2105.888,,,,,,Iteration 24: SSE = 2105.888,,,,,,Iteration 24: SSE = 2105.888
Iteration 25: SSE = 2102.713,,,,,,Iteration 25: SSE = 2102.713,,,,,,Iteration 25: SSE = 2102.713
Iteration 26: SSE = 2099.632,,,,,,Iteration 26: SSE = 2099.632,,,,,,Iteration 26: SSE = 2099.632
Iteration 27: SSE = 2095.877,,,,,,Iteration 27: SSE = 2095.877,,,,,,Iteration 27: SSE = 2095.877
Iteration 28: SSE = 2089.754,,,,,,Iteration 28: SSE = 2089.754,,,,,,Iteration 28: SSE = 2089.754
