Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,
-----,,,,,,-----,,,,,,Run 1
Iteration 1: SSE = 3996.97,,,,,,Iteration 1: SSE = 4280.287,,,,,,-----
Iteration 2: SSE = 2503.106,,,,,,Iteration 2: SSE = 2829.583,,,,,,Iteration 1: SSE = 4621.718
Iteration 3: SSE = 2287.403,,,,,,Iteration 3: SSE = 2228.371,,,,,,Iteration 2: SSE = 2550
Iteration 4: SSE = 2013.434,,,,,,Iteration 4: SSE = 1973.228,,,,,,Iteration 3: SSE = 2112.118
Iteration 5: SSE = 1944.888,,,,,,Iteration 5: SSE = 1844.362,,,,,,Iteration 4: SSE = 1889.011
Iteration 6: SSE = 1923,,,,,,Iteration 6: SSE = 1804.053,,,,,,Iteration 5: SSE = 1865.818
Iteration 7: SSE = 1909.168,,,,,,Iteration 7: SSE = 1778.786,,,,,,Iteration 6: SSE = 1853.939
Iteration 8: SSE = 1900.813,,,,,,Iteration 8: SSE = 1761.159,,,,,,Iteration 7: SSE = 1843.244
Iteration 9: SSE = 1894.325,,,,,,Iteration 9: SSE = 1750.965,,,,,,Iteration 8: SSE = 1825.709
Iteration 10: SSE = 1887.745,,,,,,Iteration 10: SSE = 1745.684,,,,,,Iteration 9: SSE = 1787.472
Iteration 11: SSE = 1882.199,,,,,,Iteration 11: SSE = 1742.964,,,,,,Iteration 10: SSE = 1752.439
Iteration 12: SSE = 1877.261,,,,,,Iteration 12: SSE = 1742.014,,,,,,Iteration 11: SSE = 1745.673
Iteration 13: SSE = 1870.278,,,,,,,,,,,,Iteration 12: SSE = 1743.93
Iteration 14: SSE = 1861.402,,,,,,Run 2,,,,,,
Iteration 15: SSE = 1853.353,,,,,,-----,,,,,,Run 2
Iteration 16: SSE = 1844.33,,,,,,Iteration 1: SSE = 3237.069,,,,,,-----
Iteration 17: SSE = 1827.681,,,,,,Iteration 2: SSE = 2107.993,,,,,,Iteration 1: SSE = 5085.136
Iteration 18: SSE = 1791.171,,,,,,Iteration 3: SSE = 1983.019,,,,,,Iteration 2: SSE = 2097.841
Iteration 19: SSE = 1754.472,,,,,,Iteration 4: SSE = 1943.971,,,,,,Iteration 3: SSE = 1796.18
Iteration 20: SSE = 1746.394,,,,,,Iteration 5: SSE = 1921.848,,,,,,Iteration 4: SSE = 1770.949
Iteration 21: SSE = 1744.307,,,,,,Iteration 6: SSE = 1888.278,,,,,,Iteration 5: SSE = 1758.941
Iteration 22: SSE = 1743.486,,,,,,Iteration 7: SSE = 1803.098,,,,,,Iteration 6: SSE = 1751.961
,,,,,,Iteration 8: SSE = 1752.494,,,,,,Iteration 7: SSE = 1747.773
Run 2,,,,,,Iteration 9: SSE = 1744.116,,,,,,Iteration 8: SSE = 1744.613
-----,,,,,,Iteration 10: SSE = 1742.646,,,,,,Iteration 9: SSE = 1742.91
Iteration 1: SSE = 3128.749,,,,,,,,,,,,
Iteration 2: SSE = 2182.658,,,,,,Run 3,,,,,,Run 3
Iteration 3: SSE = 2042.588,,,,,,-----,,,,,,-----
Iteration 4: SSE = 1925.282,,,,,,Iteration 1: SSE = 6070.998,,,,,,Iteration 1: SSE = 5093.762
Iteration 5: SSE = 1802.959,,,,,,Iteration 2: SSE = 2849.477,,,,,,Iteration 2: SSE = 2257.265
Iteration 6: SSE = 1769.18,,,,,,Iteration 3: SSE = 2199.005,,,,,,Iteration 3: SSE = 1864.497
Iteration 7: SSE = 1756.229,,,,,,Iteration 4: SSE = 2018.735,,,,,,Iteration 4: SSE = 1830.865
Iteration 8: SSE = 1748.2,,,,,,Iteration 5: SSE = 1983.242,,,,,,Iteration 5: SSE = 1822.482
Iteration 9: SSE = 1744.42,,,,,,Iteration 6: SSE = 1962.336,,,,,,Iteration 6: SSE = 1815.094
Iteration 10: SSE = 1742.75,,,,,,Iteration 7: SSE = 1945.641,,,,,,Iteration 7: SSE = 1805.757
,,,,,,Iteration 8: SSE = 1932.158,,,,,,Iteration 8: SSE = 1794.681
Run 3,,,,,,Iteration 9: SSE = 1922.838,,,,,,Iteration 9: SSE = 1787.692
-----,,,,,,Iteration 10: SSE = 1916.931,,,,,,Iteration 10: SSE = 1780.744
Iteration 1: SSE = 5408.421,,,,,,Iteration 11: SSE = 1911.933,,,,,,Iteration 11: SSE = 1772.057
Iteration 2: SSE = 3724.708,,,,,,Iteration 12: SSE = 1907.384,,,,,,Iteration 12: SSE = 1763.054
Iteration 3: SSE = 3348.502,,,,,,Iteration 13: SSE = 1902.346,,,,,,Iteration 13: SSE = 1754.716
Iteration 4: SSE = 2379.907,,,,,,Iteration 14: SSE = 1897.302,,,,,,Iteration 14: SSE = 1747.747
Iteration 5: SSE = 1887.903,,,,,,Iteration 15: SSE = 1893.478,,,,,,Iteration 15: SSE = 1744.318
Iteration 6: SSE = 1854.653,,,,,,Iteration 16: SSE = 1890.503,,,,,,Iteration 16: SSE = 1743.198
Iteration 7: SSE = 1842.74,,,,,,Iteration 17: SSE = 1887.594,,,,,,
Iteration 8: SSE = 1823.552,,,,,,Iteration 18: SSE = 1884.889,,,,,,Run 4
