Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 7269.382,,,,,,Iteration 1: SSE = 7220.256,,,,,,Iteration 1: SSE = 7250.253
Iteration 2: SSE = 3732.733,,,,,,Iteration 2: SSE = 3679.427,,,,,,Iteration 2: SSE = 3734.937
Iteration 3: SSE = 3332.935,,,,,,Iteration 3: SSE = 3238.175,,,,,,Iteration 3: SSE = 3224.136
Iteration 4: SSE = 3091.017,,,,,,Iteration 4: SSE = 3066.178,,,,,,Iteration 4: SSE = 3070.231
Iteration 5: SSE = 2973.033,,,,,,Iteration 5: SSE = 2978.657,,,,,,Iteration 5: SSE = 3004.642
Iteration 6: SSE = 2930.688,,,,,,Iteration 6: SSE = 2923.318,,,,,,Iteration 6: SSE = 2947.445
Iteration 7: SSE = 2912.64,,,,,,Iteration 7: SSE = 2885.126,,,,,,Iteration 7: SSE = 2911.871
Iteration 8: SSE = 2897.774,,,,,,Iteration 8: SSE = 2856.787,,,,,,Iteration 8: SSE = 2888.475
Iteration 9: SSE = 2883.341,,,,,,Iteration 9: SSE = 2840.749,,,,,,Iteration 9: SSE = 2870.79
Iteration 10: SSE = 2871.277,,,,,,Iteration 10: SSE = 2830.614,,,,,,Iteration 10: SSE = 2856.736
Iteration 11: SSE = 2863.988,,,,,,Iteration 11: SSE = 2820.442,,,,,,Iteration 11: SSE = 2843.119
Iteration 12: SSE = 2859.104,,,,,,Iteration 12: SSE = 2807.726,,,,,,Iteration 12: SSE = 2833.115
Iteration 13: SSE = 2855.152,,,,,,Iteration 13: SSE = 2796.958,,,,,,Iteration 13: SSE = 2825.976
Iteration 14: SSE = 2851.824,,,,,,Iteration 14: SSE = 2791.739,,,,,,Iteration 14: SSE = 2819.342
Iteration 15: SSE = 2848.048,,,,,,Iteration 15: SSE = 2788.945,,,,,,Iteration 15: SSE = 2814.772
Iteration 16: SSE = 2844.246,,,,,,Iteration 16: SSE = 2786.891,,,,,,Iteration 16: SSE = 2812.228
Iteration 17: SSE = 2840.825,,,,,,,,,,,,
Iteration 18: SSE = 2837.968,,,,,,Run 2,,,,,,Run 2
Iteration 19: SSE = 2835.596,,,,,,-----,,,,,,-----
,,,,,,Iteration 1: SSE = 7227.777,,,,,,Iteration 1: SSE = 7227.339
Run 2,,,,,,Iteration 2: SSE = 3764.114,,,,,,Iteration 2: SSE = 3737.261
-----,,,,,,Iteration 3: SSE = 3228.114,,,,,,Iteration 3: SSE = 3308.202
Iteration 1: SSE = 7267.486,,,,,,Iteration 4: SSE = 3013.979,,,,,,Iteration 4: SSE = 3120.945
Iteration 2: SSE = 3662.675,,,,,,Iteration 5: SSE = 2930.7,,,,,,Iteration 5: SSE = 3009.66
Iteration 3: SSE = 3249.892,,,,,,Iteration 6: SSE = 2901.957,,,,,,Iteration 6: SSE = 2951.648
Iteration 4: SSE = 3108.17,,,,,,Iteration 7: SSE = 2884.508,,,,,,Iteration 7: SSE = 2923.795
Iteration 5: SSE = 3027.93,,,,,,Iteration 8: SSE = 2867.537,,,,,,Iteration 8: SSE = 2904.032
Iteration 6: SSE = 2942.602,,,,,,Iteration 9: SSE = 2847.794,,,,,,Iteration 9: SSE = 2883.202
Iteration 7: SSE = 2910.176,,,,,,Iteration 10: SSE = 2834.001,,,,,,Iteration 10: SSE = 2860.308
Iteration 8: SSE = 2886.976,,,,,,Iteration 11: SSE = 2823.097,,,,,,Iteration 11: SSE = 2843.882
