Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 4595.618,,,,,,Iteration 1: SSE = 4357.436,,,,,,Iteration 1: SSE = 4585.516
Iteration 2: SSE = 3270.2,,,,,,Iteration 2: SSE = 3162.039,,,,,,Iteration 2: SSE = 3303.271
Iteration 3: SSE = 3071.062,,,,,,Iteration 3: SSE = 2968.822,,,,,,Iteration 3: SSE = 3042.932
Iteration 4: SSE = 2976.341,,,,,,Iteration 4: SSE = 2897.008,,,,,,Iteration 4: SSE = 2934.938
Iteration 5: SSE = 2903.838,,,,,,Iteration 5: SSE = 2855.684,,,,,,Iteration 5: SSE = 2883.803
Iteration 6: SSE = 2860.143,,,,,,Iteration 6: SSE = 2830.325,,,,,,Iteration 6: SSE = 2851.192
Iteration 7: SSE = 2836.641,,,,,,Iteration 7: SSE = 2814.069,,,,,,Iteration 7: SSE = 2832.192
Iteration 8: SSE = 2822.122,,,,,,Iteration 8: SSE = 2804.469,,,,,,Iteration 8: SSE = 2825.173
Iteration 9: SSE = 2812.482,,,,,,Iteration 9: SSE = 2798.343,,,,,,Iteration 9: SSE = 2818.237
Iteration 10: SSE = 2807.528,,,,,,Iteration 10: SSE = 2793.305,,,,,,Iteration 10: SSE = 2811.618
Iteration 11: SSE = 2804.76,,,,,,Iteration 11: SSE = 2788.781,,,,,,Iteration 11: SSE = 2807.408
,,,,,,Iteration 12: SSE = 2786.015,,,,,,Iteration 12: SSE = 2804.652
Run 2,,,,,,,,,,,,
-----,,,,,,Run 2,,,,,,Run 2
Iteration 1: SSE = 4528.769,,,,,,-----,,,,,,-----
Iteration 2: SSE = 3385.83,,,,,,Iteration 1: SSE = 4624.498,,,,,,Iteration 1: SSE = 4646.556
Iteration 3: SSE = 3179.827,,,,,,Iteration 2: SSE = 3473.556,,,,,,Iteration 2: SSE = 3248.04
Iteration 4: SSE = 3069.454,,,,,,Iteration 3: SSE = 3206.501,,,,,,Iteration 3: SSE = 2986.5
Iteration 5: SSE = 2998.652,,,,,,Iteration 4: SSE = 3025.865,,,,,,Iteration 4: SSE = 2904.655
Iteration 6: SSE = 2961.64,,,,,,Iteration 5: SSE = 2939.365,,,,,,Iteration 5: SSE = 2868.46
Iteration 7: SSE = 2938.97,,,,,,Iteration 6: SSE = 2890.709,,,,,,Iteration 6: SSE = 2845.457
Iteration 8: SSE = 2920.419,,,,,,Iteration 7: SSE = 2867.868,,,,,,Iteration 7: SSE = 2827.803
Iteration 9: SSE = 2899.858,,,,,,Iteration 8: SSE = 2852.507,,,,,,Iteration 8: SSE = 2814.456
Iteration 10: SSE = 2877.258,,,,,,Iteration 9: SSE = 2834.9,,,,,,Iteration 9: SSE = 2803.541
Iteration 11: SSE = 2857.501,,,,,,Iteration 10: SSE = 2815.401,,,,,,Iteration 10: SSE = 2793.533
Iteration 12: SSE = 2845.304,,,,,,Iteration 11: SSE = 2800.384,,,,,,Iteration 11: SSE = 2786.174
Iteration 13: SSE = 2838.748,,,,,,Iteration 12: SSE = 2794.133,,,,,,Iteration 12: SSE = 2780.636
Iteration 14: SSE = 2835.497,,,,,,Iteration 13: SSE = 2790.736,,,,,,Iteration 13: SSE = 2776.998
Iteration 15: SSE = 2833.677,,,,,,Iteration 14: SSE = 2788.198,,,,,,Iteration 14: SSE = 2774.161
,,,,,,,,,,,,Iteration 15: SSE = 2771.957
Run 3,,,,,,Run 3,,,,,,
-----,,,,,,-----,,,,,,Run 3
