Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 455.9847,,,,,,Iteration 1: SSE = 436.2517,,,,,,Iteration 1: SSE = 587.1139
Iteration 2: SSE = 260.4734,,,,,,Iteration 2: SSE = 243.3315,,,,,,Iteration 2: SSE = 305.76
Iteration 3: SSE = 250.0837,,,,,,Iteration 3: SSE = 228.9207,,,,,,Iteration 3: SSE = 252.7949
Iteration 4: SSE = 243.4694,,,,,,Iteration 4: SSE = 225.7376,,,,,,Iteration 4: SSE = 239.8381
Iteration 5: SSE = 238.0673,,,,,,Iteration 5: SSE = 224.725,,,,,,Iteration 5: SSE = 237.582
Iteration 6: SSE = 235.6673,,,,,,Iteration 6: SSE = 224.1362,,,,,,Iteration 6: SSE = 236.4972
Iteration 7: SSE = 234.0901,,,,,,Iteration 7: SSE = 223.842,,,,,,Iteration 7: SSE = 235.6153
Iteration 8: SSE = 232.8792,,,,,,Iteration 8: SSE = 223.682,,,,,,Iteration 8: SSE = 234.6476
Iteration 9: SSE = 232.0775,,,,,,,,,,,,Iteration 9: SSE = 233.5079
Iteration 10: SSE = 231.1546,,,,,,Run 2,,,,,,Iteration 10: SSE = 232.5628
Iteration 11: SSE = 230.043,,,,,,-----,,,,,,Iteration 11: SSE = 231.1832
Iteration 12: SSE = 228.9355,,,,,,Iteration 1: SSE = 436.2517,,,,,,Iteration 12: SSE = 229.9636
Iteration 13: SSE = 228.1176,,,,,,Iteration 2: SSE = 243.3315,,,,,,Iteration 13: SSE = 228.8951
Iteration 14: SSE = 227.849,,,,,,Iteration 3: SSE = 228.9207,,,,,,Iteration 14: SSE = 228.0838
Iteration 15: SSE = 227.489,,,,,,Iteration 4: SSE = 225.7376,,,,,,Iteration 15: SSE = 227.7214
Iteration 16: SSE = 227.0964,,,,,,Iteration 5: SSE = 224.725,,,,,,Iteration 16: SSE = 227.3534
Iteration 17: SSE = 226.8805,,,,,,Iteration 6: SSE = 224.1362,,,,,,Iteration 17: SSE = 226.9914
,,,,,,Iteration 7: SSE = 223.842,,,,,,Iteration 18: SSE = 226.7789
Run 2,,,,,,Iteration 8: SSE = 223.682,,,,,,
-----,,,,,,,,,,,,Run 2
Iteration 1: SSE = 455.9847,,,,,,Run 3,,,,,,-----
Iteration 2: SSE = 260.4734,,,,,,-----,,,,,,Iteration 1: SSE = 587.1139
Iteration 3: SSE = 250.0837,,,,,,Iteration 1: SSE = 396.1996,,,,,,Iteration 2: SSE = 305.76
Iteration 4: SSE = 243.4694,,,,,,Iteration 2: SSE = 290.9855,,,,,,Iteration 3: SSE = 252.7949
Iteration 5: SSE = 238.0673,,,,,,Iteration 3: SSE = 282.4548,,,,,,Iteration 4: SSE = 239.8381
Iteration 6: SSE = 235.6673,,,,,,Iteration 4: SSE = 276.9966,,,,,,Iteration 5: SSE = 237.582
Iteration 7: SSE = 234.0901,,,,,,Iteration 5: SSE = 271.4735,,,,,,Iteration 6: SSE = 236.4972
Iteration 8: SSE = 232.8792,,,,,,Iteration 6: SSE = 266.6924,,,,,,Iteration 7: SSE = 235.6153
Iteration 9: SSE = 232.0775,,,,,,Iteration 7: SSE = 260.5601,,,,,,Iteration 8: SSE = 234.6476
Iteration 10: SSE = 231.1546,,,,,,Iteration 8: SSE = 253.3527,,,,,,Iteration 9: SSE = 233.5079
Iteration 11: SSE = 230.043,,,,,,Iteration 9: SSE = 246.571,,,,,,Iteration 10: SSE = 232.5628
