Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 90.54352,,,,,,Iteration 1: SSE = 87.42341,,,,,,Iteration 1: SSE = 87.42341
Iteration 2: SSE = 61.03227,,,,,,Iteration 2: SSE = 67.74444,,,,,,Iteration 2: SSE = 67.74444
Iteration 3: SSE = 52.61691,,,,,,Iteration 3: SSE = 64.66394,,,,,,Iteration 3: SSE = 64.66394
Iteration 4: SSE = 49.54426,,,,,,Iteration 4: SSE = 64.08204,,,,,,Iteration 4: SSE = 64.08204
Iteration 5: SSE = 49.01157,,,,,,Iteration 5: SSE = 63.53747,,,,,,Iteration 5: SSE = 63.53747
Iteration 6: SSE = 48.96052,,,,,,Iteration 6: SSE = 63.44435,,,,,,Iteration 6: SSE = 63.44435
Iteration 7: SSE = 48.96052,,,,,,Iteration 7: SSE = 63.4092,,,,,,Iteration 7: SSE = 63.4092
,,,,,,,,,,,,
Run 2,,,,,,Run 2,,,,,,Run 2
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 90.54352,,,,,,Iteration 1: SSE = 87.42341,,,,,,Iteration 1: SSE = 87.42341
Iteration 2: SSE = 61.03227,,,,,,Iteration 2: SSE = 67.74444,,,,,,Iteration 2: SSE = 67.74444
Iteration 3: SSE = 52.61691,,,,,,Iteration 3: SSE = 64.66394,,,,,,Iteration 3: SSE = 64.66394
Iteration 4: SSE = 49.54426,,,,,,Iteration 4: SSE = 64.08204,,,,,,Iteration 4: SSE = 64.08204
Iteration 5: SSE = 49.01157,,,,,,Iteration 5: SSE = 63.53747,,,,,,Iteration 5: SSE = 63.53747
Iteration 6: SSE = 48.96052,,,,,,Iteration 6: SSE = 63.44435,,,,,,Iteration 6: SSE = 63.44435
Iteration 7: SSE = 48.96052,,,,,,Iteration 7: SSE = 63.4092,,,,,,Iteration 7: SSE = 63.4092
,,,,,,,,,,,,
Run 3,,,,,,Run 3,,,,,,Run 3
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 90.54352,,,,,,Iteration 1: SSE = 87.42341,,,,,,Iteration 1: SSE = 87.42341
Iteration 2: SSE = 61.03227,,,,,,Iteration 2: SSE = 67.74444,,,,,,Iteration 2: SSE = 67.74444
Iteration 3: SSE = 52.61691,,,,,,Iteration 3: SSE = 64.66394,,,,,,Iteration 3: SSE = 64.66394
Iteration 4: SSE = 49.54426,,,,,,Iteration 4: SSE = 64.08204,,,,,,Iteration 4: SSE = 64.08204
Iteration 5: SSE = 49.01157,,,,,,Iteration 5: SSE = 63.53747,,,,,,Iteration 5: SSE = 63.53747
Iteration 6: SSE = 48.96052,,,,,,Iteration 6: SSE = 63.44435,,,,,,Iteration 6: SSE = 63.44435
Iteration 7: SSE = 48.96052,,,,,,Iteration 7: SSE = 63.4092,,,,,,Iteration 7: SSE = 63.4092
,,,,,,,,,,,,
Run 4,,,,,,Run 4,,,,,,Run 4
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 90.54352,,,,,,Iteration 1: SSE = 87.42341,,,,,,Iteration 1: SSE = 87.42341
Iteration 2: SSE = 61.03227,,,,,,Iteration 2: SSE = 67.74444,,,,,,Iteration 2: SSE = 67.74444
Iteration 3: SSE = 52.61691,,,,,,Iteration 3: SSE = 64.66394,,,,,,Iteration 3: SSE = 64.66394
Iteration 4: SSE = 49.54426,,,,,,Iteration 4: SSE = 64.08204,,,,,,Iteration 4: SSE = 64.08204
