Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 111.7461,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
Iteration 2: SSE = 59.36905,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
Iteration 3: SSE = 51.65861,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
Iteration 4: SSE = 49.10297,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
Iteration 5: SSE = 48.98541,,,,,,Iteration 5: SSE = 48.96052,,,,,,Iteration 5: SSE = 49.02838
Iteration 6: SSE = 48.98541,,,,,,,,,,,,
,,,,,,Run 2,,,,,,Run 2
Run 2,,,,,,-----,,,,,,-----
-----,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
Iteration 1: SSE = 111.7461,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
Iteration 2: SSE = 59.36905,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
Iteration 3: SSE = 51.65861,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
Iteration 4: SSE = 49.10297,,,,,,Iteration 5: SSE = 48.96052,,,,,,Iteration 5: SSE = 49.02838
Iteration 5: SSE = 48.98541,,,,,,,,,,,,
Iteration 6: SSE = 48.98541,,,,,,Run 3,,,,,,Run 3
,,,,,,-----,,,,,,-----
Run 3,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
-----,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
Iteration 1: SSE = 111.7461,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
Iteration 2: SSE = 59.36905,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
Iteration 3: SSE = 51.65861,,,,,,Iteration 5: SSE = 48.96052,,,,,,Iteration 5: SSE = 49.02838
Iteration 4: SSE = 49.10297,,,,,,,,,,,,
Iteration 5: SSE = 48.98541,,,,,,Run 4,,,,,,Run 4
Iteration 6: SSE = 48.98541,,,,,,-----,,,,,,-----
,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
Run 4,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
-----,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
Iteration 1: SSE = 111.7461,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
Iteration 2: SSE = 59.36905,,,,,,Iteration 5: SSE = 48.96052,,,,,,Iteration 5: SSE = 49.02838
Iteration 3: SSE = 51.65861,,,,,,,,,,,,
Iteration 4: SSE = 49.10297,,,,,,Run 5,,,,,,Run 5
Iteration 5: SSE = 48.98541,,,,,,-----,,,,,,-----
Iteration 6: SSE = 48.98541,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
Run 5,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
-----,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
Iteration 1: SSE = 111.7461,,,,,,Iteration 5: SSE = 48.96052,,,,,,Iteration 5: SSE = 49.02838
Iteration 2: SSE = 59.36905,,,,,,,,,,,,
Iteration 3: SSE = 51.65861,,,,,,Run 6,,,,,,Run 6
Iteration 4: SSE = 49.10297,,,,,,-----,,,,,,-----
Iteration 5: SSE = 48.98541,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
Iteration 6: SSE = 48.98541,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
Run 6,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
-----,,,,,,Iteration 5: SSE = 48.96052,,,,,,Iteration 5: SSE = 49.02838
Iteration 1: SSE = 111.7461,,,,,,,,,,,,
Iteration 2: SSE = 59.36905,,,,,,Run 7,,,,,,Run 7
Iteration 3: SSE = 51.65861,,,,,,-----,,,,,,-----
Iteration 4: SSE = 49.10297,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
Iteration 5: SSE = 48.98541,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
Iteration 6: SSE = 48.98541,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
Run 7,,,,,,Iteration 5: SSE = 48.96052,,,,,,Iteration 5: SSE = 49.02838
-----,,,,,,,,,,,,
Iteration 1: SSE = 111.7461,,,,,,Run 8,,,,,,Run 8
Iteration 2: SSE = 59.36905,,,,,,-----,,,,,,-----
Iteration 3: SSE = 51.65861,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
Iteration 4: SSE = 49.10297,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
Iteration 5: SSE = 48.98541,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
Iteration 6: SSE = 48.98541,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
,,,,,,Iteration 5: SSE = 48.96052,,,,,,Iteration 5: SSE = 49.02838
Run 8,,,,,,,,,,,,
-----,,,,,,Run 9,,,,,,Run 9
Iteration 1: SSE = 111.7461,,,,,,-----,,,,,,-----
Iteration 2: SSE = 59.36905,,,,,,Iteration 1: SSE = 149.5586,,,,,,Iteration 1: SSE = 95.93067
Iteration 3: SSE = 51.65861,,,,,,Iteration 2: SSE = 56.67512,,,,,,Iteration 2: SSE = 54.54871
Iteration 4: SSE = 49.10297,,,,,,Iteration 3: SSE = 49.35193,,,,,,Iteration 3: SSE = 49.38522
Iteration 5: SSE = 48.98541,,,,,,Iteration 4: SSE = 48.96052,,,,,,Iteration 4: SSE = 49.05103
