Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 150.8768,,,,,,Iteration 1: SSE = 150.2892,,,,,,Iteration 1: SSE = 150.1704
Iteration 2: SSE = 89.78778,,,,,,Iteration 2: SSE = 84.72954,,,,,,Iteration 2: SSE = 95.33357
Iteration 3: SSE = 85.10465,,,,,,Iteration 3: SSE = 73.38497,,,,,,Iteration 3: SSE = 83.60212
Iteration 4: SSE = 83.45764,,,,,,Iteration 4: SSE = 65.06858,,,,,,Iteration 4: SSE = 79.60617
Iteration 5: SSE = 82.19491,,,,,,Iteration 5: SSE = 61.90588,,,,,,Iteration 5: SSE = 74.74257
Iteration 6: SSE = 81.61273,,,,,,Iteration 6: SSE = 60.74868,,,,,,Iteration 6: SSE = 68.34633
Iteration 7: SSE = 81.4811,,,,,,Iteration 7: SSE = 59.98298,,,,,,Iteration 7: SSE = 68.07013
Iteration 8: SSE = 81.41079,,,,,,Iteration 8: SSE = 59.50758,,,,,,Iteration 8: SSE = 67.9455
,,,,,,Iteration 9: SSE = 59.19617,,,,,,Iteration 9: SSE = 67.88023
Run 2,,,,,,Iteration 10: SSE = 59.00844,,,,,,
-----,,,,,,Iteration 11: SSE = 58.92592,,,,,,Run 2
Iteration 1: SSE = 148.7152,,,,,,Iteration 12: SSE = 58.86681,,,,,,-----
Iteration 2: SSE = 83.8048,,,,,,Iteration 13: SSE = 58.82939,,,,,,Iteration 1: SSE = 150.1704
Iteration 3: SSE = 74.59693,,,,,,,,,,,,Iteration 2: SSE = 95.33357
Iteration 4: SSE = 71.35192,,,,,,Run 2,,,,,,Iteration 3: SSE = 83.60212
Iteration 5: SSE = 70.30076,,,,,,-----,,,,,,Iteration 4: SSE = 79.60617
Iteration 6: SSE = 69.67463,,,,,,Iteration 1: SSE = 150.2892,,,,,,Iteration 5: SSE = 74.74257
Iteration 7: SSE = 69.22696,,,,,,Iteration 2: SSE = 84.72954,,,,,,Iteration 6: SSE = 68.34633
Iteration 8: SSE = 68.98114,,,,,,Iteration 3: SSE = 73.38497,,,,,,Iteration 7: SSE = 68.07013
Iteration 9: SSE = 68.86304,,,,,,Iteration 4: SSE = 65.06858,,,,,,Iteration 8: SSE = 67.9455
Iteration 10: SSE = 68.82053,,,,,,Iteration 5: SSE = 61.90588,,,,,,Iteration 9: SSE = 67.88023
,,,,,,Iteration 6: SSE = 60.74868,,,,,,
Run 3,,,,,,Iteration 7: SSE = 59.98298,,,,,,Run 3
-----,,,,,,Iteration 8: SSE = 59.50758,,,,,,-----
Iteration 1: SSE = 148.7152,,,,,,Iteration 9: SSE = 59.19617,,,,,,Iteration 1: SSE = 150.1704
Iteration 2: SSE = 83.8048,,,,,,Iteration 10: SSE = 59.00844,,,,,,Iteration 2: SSE = 95.33357
Iteration 3: SSE = 74.59693,,,,,,Iteration 11: SSE = 58.92592,,,,,,Iteration 3: SSE = 83.60212
Iteration 4: SSE = 71.35192,,,,,,Iteration 12: SSE = 58.86681,,,,,,Iteration 4: SSE = 79.60617
Iteration 5: SSE = 70.30076,,,,,,Iteration 13: SSE = 58.82939,,,,,,Iteration 5: SSE = 74.74257
Iteration 6: SSE = 69.67463,,,,,,,,,,,,Iteration 6: SSE = 68.34633
Iteration 7: SSE = 69.22696,,,,,,Run 3,,,,,,Iteration 7: SSE = 68.07013
Iteration 8: SSE = 68.98114,,,,,,-----,,,,,,Iteration 8: SSE = 67.9455
Iteration 9: SSE = 68.86304,,,,,,Iteration 1: SSE = 150.9214,,,,,,Iteration 9: SSE = 67.88023
Iteration 10: SSE = 68.82053,,,,,,Iteration 2: SSE = 81.83154,,,,,,
,,,,,,Iteration 3: SSE = 65.21822,,,,,,Run 4
Run 4,,,,,,Iteration 4: SSE = 61.62233,,,,,,-----
-----,,,,,,Iteration 5: SSE = 60.46644,,,,,,Iteration 1: SSE = 145.5342
Iteration 1: SSE = 148.7152,,,,,,Iteration 6: SSE = 60.14426,,,,,,Iteration 2: SSE = 96.45226
Iteration 2: SSE = 83.8048,,,,,,Iteration 7: SSE = 59.97739,,,,,,Iteration 3: SSE = 83.34463
Iteration 3: SSE = 74.59693,,,,,,Iteration 8: SSE = 59.89398,,,,,,Iteration 4: SSE = 70.49354
Iteration 4: SSE = 71.35192,,,,,,Iteration 9: SSE = 59.84367,,,,,,Iteration 5: SSE = 69.15493
Iteration 5: SSE = 70.30076,,,,,,,,,,,,Iteration 6: SSE = 68.7476
Iteration 6: SSE = 69.67463,,,,,,Run 4,,,,,,Iteration 7: SSE = 68.5278
Iteration 7: SSE = 69.22696,,,,,,-----,,,,,,Iteration 8: SSE = 68.35921
Iteration 8: SSE = 68.98114,,,,,,Iteration 1: SSE = 150.9214,,,,,,Iteration 9: SSE = 68.18623
Iteration 9: SSE = 68.86304,,,,,,Iteration 2: SSE = 81.83154,,,,,,Iteration 10: SSE = 67.90727
Iteration 10: SSE = 68.82053,,,,,,Iteration 3: SSE = 65.21822,,,,,,Iteration 11: SSE = 67.7173
,,,,,,Iteration 4: SSE = 61.62233,,,,,,Iteration 12: SSE = 67.61595
Run 5,,,,,,Iteration 5: SSE = 60.46644,,,,,,Iteration 13: SSE = 67.54418
-----,,,,,,Iteration 6: SSE = 60.14426,,,,,,Iteration 14: SSE = 67.49047
Iteration 1: SSE = 148.7152,,,,,,Iteration 7: SSE = 59.97739,,,,,,
Iteration 2: SSE = 83.8048,,,,,,Iteration 8: SSE = 59.89398,,,,,,Run 5
Iteration 3: SSE = 74.59693,,,,,,Iteration 9: SSE = 59.84367,,,,,,-----
Iteration 4: SSE = 71.35192,,,,,,,,,,,,Iteration 1: SSE = 145.5342
Iteration 5: SSE = 70.30076,,,,,,Run 5,,,,,,Iteration 2: SSE = 96.45226
Iteration 6: SSE = 69.67463,,,,,,-----,,,,,,Iteration 3: SSE = 83.34463
Iteration 7: SSE = 69.22696,,,,,,Iteration 1: SSE = 150.9214,,,,,,Iteration 4: SSE = 70.49354
Iteration 8: SSE = 68.98114,,,,,,Iteration 2: SSE = 81.83154,,,,,,Iteration 5: SSE = 69.15493
Iteration 9: SSE = 68.86304,,,,,,Iteration 3: SSE = 65.21822,,,,,,Iteration 6: SSE = 68.7476
Iteration 10: SSE = 68.82053,,,,,,Iteration 4: SSE = 61.62233,,,,,,Iteration 7: SSE = 68.5278
,,,,,,Iteration 5: SSE = 60.46644,,,,,,Iteration 8: SSE = 68.35921
Run 6,,,,,,Iteration 6: SSE = 60.14426,,,,,,Iteration 9: SSE = 68.18623
-----,,,,,,Iteration 7: SSE = 59.97739,,,,,,Iteration 10: SSE = 67.90727
Iteration 1: SSE = 151.0306,,,,,,Iteration 8: SSE = 59.89398,,,,,,Iteration 11: SSE = 67.7173
Iteration 2: SSE = 94.53064,,,,,,Iteration 9: SSE = 59.84367,,,,,,Iteration 12: SSE = 67.61595
Iteration 3: SSE = 85.98266,,,,,,,,,,,,Iteration 13: SSE = 67.54418
Iteration 4: SSE = 82.03612,,,,,,Run 6,,,,,,Iteration 14: SSE = 67.49047
Iteration 5: SSE = 79.39143,,,,,,-----,,,,,,
Iteration 6: SSE = 78.7436,,,,,,Iteration 1: SSE = 150.9214,,,,,,Run 6
Iteration 7: SSE = 78.60304,,,,,,Iteration 2: SSE = 81.83154,,,,,,-----
Iteration 8: SSE = 78.55623,,,,,,Iteration 3: SSE = 65.21822,,,,,,Iteration 1: SSE = 145.5342
,,,,,,Iteration 4: SSE = 61.62233,,,,,,Iteration 2: SSE = 96.45226
Run 7,,,,,,Iteration 5: SSE = 60.46644,,,,,,Iteration 3: SSE = 83.34463
-----,,,,,,Iteration 6: SSE = 60.14426,,,,,,Iteration 4: SSE = 70.49354
Iteration 1: SSE = 151.0306,,,,,,Iteration 7: SSE = 59.97739,,,,,,Iteration 5: SSE = 69.15493
Iteration 2: SSE = 94.53064,,,,,,Iteration 8: SSE = 59.89398,,,,,,Iteration 6: SSE = 68.7476
Iteration 3: SSE = 85.98266,,,,,,Iteration 9: SSE = 59.84367,,,,,,Iteration 7: SSE = 68.5278
Iteration 4: SSE = 82.03612,,,,,,,,,,,,Iteration 8: SSE = 68.35921
Iteration 5: SSE = 79.39143,,,,,,Run 7,,,,,,Iteration 9: SSE = 68.18623
Iteration 6: SSE = 78.7436,,,,,,-----,,,,,,Iteration 10: SSE = 67.90727
Iteration 7: SSE = 78.60304,,,,,,Iteration 1: SSE = 148.4552,,,,,,Iteration 11: SSE = 67.7173
Iteration 8: SSE = 78.55623,,,,,,Iteration 2: SSE = 91.93768,,,,,,Iteration 12: SSE = 67.61595
,,,,,,Iteration 3: SSE = 86.18834,,,,,,Iteration 13: SSE = 67.54418
Run 8,,,,,,Iteration 4: SSE = 84.8005,,,,,,Iteration 14: SSE = 67.49047
-----,,,,,,Iteration 5: SSE = 83.32211,,,,,,
Iteration 1: SSE = 151.0306,,,,,,Iteration 6: SSE = 81.44587,,,,,,Run 7
Iteration 2: SSE = 94.53064,,,,,,Iteration 7: SSE = 78.25709,,,,,,-----
Iteration 3: SSE = 85.98266,,,,,,Iteration 8: SSE = 71.3172,,,,,,Iteration 1: SSE = 144.1448
Iteration 4: SSE = 82.03612,,,,,,Iteration 9: SSE = 70.81666,,,,,,Iteration 2: SSE = 88.10118
Iteration 5: SSE = 79.39143,,,,,,Iteration 10: SSE = 70.60576,,,,,,Iteration 3: SSE = 73.62238
Iteration 6: SSE = 78.7436,,,,,,Iteration 11: SSE = 70.47656,,,,,,Iteration 4: SSE = 70.29425
Iteration 7: SSE = 78.60304,,,,,,Iteration 12: SSE = 70.36949,,,,,,Iteration 5: SSE = 68.47664
Iteration 8: SSE = 78.55623,,,,,,Iteration 13: SSE = 70.32021,,,,,,Iteration 6: SSE = 65.16957
,,,,,,,,,,,,Iteration 7: SSE = 60.29468
Run 9,,,,,,Run 8,,,,,,Iteration 8: SSE = 59.12059
-----,,,,,,-----,,,,,,Iteration 9: SSE = 58.90768
Iteration 1: SSE = 151.0306,,,,,,Iteration 1: SSE = 148.4552,,,,,,Iteration 10: SSE = 58.73938
Iteration 2: SSE = 94.53064,,,,,,Iteration 2: SSE = 91.93768,,,,,,Iteration 11: SSE = 58.64896
Iteration 3: SSE = 85.98266,,,,,,Iteration 3: SSE = 86.18834,,,,,,Iteration 12: SSE = 58.58351
Iteration 4: SSE = 82.03612,,,,,,Iteration 4: SSE = 84.8005,,,,,,Iteration 13: SSE = 58.54789
Iteration 5: SSE = 79.39143,,,,,,Iteration 5: SSE = 83.32211,,,,,,
Iteration 6: SSE = 78.7436,,,,,,Iteration 6: SSE = 81.44587,,,,,,Run 8
Iteration 7: SSE = 78.60304,,,,,,Iteration 7: SSE = 78.25709,,,,,,-----
Iteration 8: SSE = 78.55623,,,,,,Iteration 8: SSE = 71.3172,,,,,,Iteration 1: SSE = 144.1448
,,,,,,Iteration 9: SSE = 70.81666,,,,,,Iteration 2: SSE = 88.10118
Run 10,,,,,,Iteration 10: SSE = 70.60576,,,,,,Iteration 3: SSE = 73.62238
-----,,,,,,Iteration 11: SSE = 70.47656,,,,,,Iteration 4: SSE = 70.29425
Iteration 1: SSE = 148.2998,,,,,,Iteration 12: SSE = 70.36949,,,,,,Iteration 5: SSE = 68.47664
Iteration 2: SSE = 90.58807,,,,,,Iteration 13: SSE = 70.32021,,,,,,Iteration 6: SSE = 65.16957
Iteration 3: SSE = 81.06763,,,,,,,,,,,,Iteration 7: SSE = 60.29468
Iteration 4: SSE = 76.09576,,,,,,Run 9,,,,,,Iteration 8: SSE = 59.12059
Iteration 5: SSE = 69.82257,,,,,,-----,,,,,,Iteration 9: SSE = 58.90768
