Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 111.3086,,,,,,Iteration 1: SSE = 120.4247,,,,,,Iteration 1: SSE = 116.3162
Iteration 2: SSE = 88.57873,,,,,,Iteration 2: SSE = 93.9243,,,,,,Iteration 2: SSE = 96.11389
Iteration 3: SSE = 84.21405,,,,,,Iteration 3: SSE = 81.91763,,,,,,Iteration 3: SSE = 90.39755
Iteration 4: SSE = 81.20537,,,,,,Iteration 4: SSE = 79.92652,,,,,,Iteration 4: SSE = 85.162
Iteration 5: SSE = 78.1034,,,,,,Iteration 5: SSE = 79.28296,,,,,,Iteration 5: SSE = 81.72102
Iteration 6: SSE = 68.738,,,,,,Iteration 6: SSE = 78.79071,,,,,,Iteration 6: SSE = 80.74349
Iteration 7: SSE = 68.00471,,,,,,Iteration 7: SSE = 78.44513,,,,,,Iteration 7: SSE = 80.26434
Iteration 8: SSE = 67.71872,,,,,,Iteration 8: SSE = 78.21516,,,,,,Iteration 8: SSE = 80.04918
Iteration 9: SSE = 67.57348,,,,,,Iteration 9: SSE = 77.80974,,,,,,Iteration 9: SSE = 79.91167
Iteration 10: SSE = 67.43778,,,,,,Iteration 10: SSE = 75.93429,,,,,,Iteration 10: SSE = 79.8156
Iteration 11: SSE = 67.31381,,,,,,Iteration 11: SSE = 70.19133,,,,,,Iteration 11: SSE = 79.72272
Iteration 12: SSE = 67.10951,,,,,,Iteration 12: SSE = 70.13142,,,,,,Iteration 12: SSE = 79.62751
Iteration 13: SSE = 66.70352,,,,,,,,,,,,Iteration 13: SSE = 79.48262
Iteration 14: SSE = 65.09685,,,,,,Run 2,,,,,,Iteration 14: SSE = 79.37149
Iteration 15: SSE = 59.17106,,,,,,-----,,,,,,Iteration 15: SSE = 79.27073
Iteration 16: SSE = 59.09939,,,,,,Iteration 1: SSE = 120.4247,,,,,,Iteration 16: SSE = 79.17108
Iteration 17: SSE = 59.04278,,,,,,Iteration 2: SSE = 93.9243,,,,,,Iteration 17: SSE = 79.05542
,,,,,,Iteration 3: SSE = 81.91763,,,,,,Iteration 18: SSE = 78.92723
Run 2,,,,,,Iteration 4: SSE = 79.92652,,,,,,Iteration 19: SSE = 78.81635
-----,,,,,,Iteration 5: SSE = 79.28296,,,,,,Iteration 20: SSE = 78.74603
Iteration 1: SSE = 111.3086,,,,,,Iteration 6: SSE = 78.79071,,,,,,
Iteration 2: SSE = 88.57873,,,,,,Iteration 7: SSE = 78.44513,,,,,,Run 2
Iteration 3: SSE = 84.21405,,,,,,Iteration 8: SSE = 78.21516,,,,,,-----
Iteration 4: SSE = 81.20537,,,,,,Iteration 9: SSE = 77.80974,,,,,,Iteration 1: SSE = 116.3162
Iteration 5: SSE = 78.1034,,,,,,Iteration 10: SSE = 75.93429,,,,,,Iteration 2: SSE = 96.11389
Iteration 6: SSE = 68.738,,,,,,Iteration 11: SSE = 70.19133,,,,,,Iteration 3: SSE = 90.39755
Iteration 7: SSE = 68.00471,,,,,,Iteration 12: SSE = 70.13142,,,,,,Iteration 4: SSE = 85.162
Iteration 8: SSE = 67.71872,,,,,,,,,,,,Iteration 5: SSE = 81.72102
Iteration 9: SSE = 67.57348,,,,,,Run 3,,,,,,Iteration 6: SSE = 80.74349
Iteration 10: SSE = 67.43778,,,,,,-----,,,,,,Iteration 7: SSE = 80.26434
Iteration 11: SSE = 67.31381,,,,,,Iteration 1: SSE = 120.4247,,,,,,Iteration 8: SSE = 80.04918
