Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 1463.097,,,,,,Iteration 1: SSE = 47.92672,,,,,,Iteration 1: SSE = 47.92672
Iteration 2: SSE = 1234.708,,,,,,Iteration 2: SSE = 24.32009,,,,,,Iteration 2: SSE = 24.32009
Iteration 3: SSE = 933.557,,,,,,Iteration 3: SSE = 20.59372,,,,,,Iteration 3: SSE = 20.59372
Iteration 4: SSE = 711.7423,,,,,,Iteration 4: SSE = 20.01913,,,,,,Iteration 4: SSE = 20.01913
Iteration 5: SSE = 650.5387,,,,,,Iteration 5: SSE = 19.72035,,,,,,Iteration 5: SSE = 19.72035
Iteration 6: SSE = 638.6042,,,,,,Iteration 6: SSE = 19.52152,,,,,,Iteration 6: SSE = 19.52152
Iteration 7: SSE = 634.4327,,,,,,Iteration 7: SSE = 19.44181,,,,,,Iteration 7: SSE = 19.44181
Iteration 8: SSE = 633.3774,,,,,,Iteration 8: SSE = 19.40728,,,,,,Iteration 8: SSE = 19.40728
Iteration 9: SSE = 632.5772,,,,,,Iteration 9: SSE = 19.3591,,,,,,Iteration 9: SSE = 19.3591
Iteration 10: SSE = 631.9913,,,,,,Iteration 10: SSE = 19.33699,,,,,,Iteration 10: SSE = 19.33699
,,,,,,Iteration 11: SSE = 19.2799,,,,,,Iteration 11: SSE = 19.2799
Run 2,,,,,,Iteration 12: SSE = 19.26896,,,,,,Iteration 12: SSE = 19.26896
-----,,,,,,,,,,,,
Iteration 1: SSE = 1463.097,,,,,,Run 2,,,,,,Run 2
Iteration 2: SSE = 1234.708,,,,,,-----,,,,,,-----
Iteration 3: SSE = 933.557,,,,,,Iteration 1: SSE = 47.92672,,,,,,Iteration 1: SSE = 47.92672
Iteration 4: SSE = 711.7423,,,,,,Iteration 2: SSE = 24.32009,,,,,,Iteration 2: SSE = 24.32009
Iteration 5: SSE = 650.5387,,,,,,Iteration 3: SSE = 20.59372,,,,,,Iteration 3: SSE = 20.59372
Iteration 6: SSE = 638.6042,,,,,,Iteration 4: SSE = 20.01913,,,,,,Iteration 4: SSE = 20.01913
Iteration 7: SSE = 634.4327,,,,,,Iteration 5: SSE = 19.72035,,,,,,Iteration 5: SSE = 19.72035
Iteration 8: SSE = 633.3774,,,,,,Iteration 6: SSE = 19.52152,,,,,,Iteration 6: SSE = 19.52152
Iteration 9: SSE = 632.5772,,,,,,Iteration 7: SSE = 19.44181,,,,,,Iteration 7: SSE = 19.44181
Iteration 10: SSE = 631.9913,,,,,,Iteration 8: SSE = 19.40728,,,,,,Iteration 8: SSE = 19.40728
,,,,,,Iteration 9: SSE = 19.3591,,,,,,Iteration 9: SSE = 19.3591
Run 3,,,,,,Iteration 10: SSE = 19.33699,,,,,,Iteration 10: SSE = 19.33699
-----,,,,,,Iteration 11: SSE = 19.2799,,,,,,Iteration 11: SSE = 19.2799
Iteration 1: SSE = 1463.097,,,,,,Iteration 12: SSE = 19.26896,,,,,,Iteration 12: SSE = 19.26896
Iteration 2: SSE = 1234.708,,,,,,,,,,,,
Iteration 3: SSE = 933.557,,,,,,Run 3,,,,,,Run 3
Iteration 4: SSE = 711.7423,,,,,,-----,,,,,,-----
Iteration 5: SSE = 650.5387,,,,,,Iteration 1: SSE = 47.92672,,,,,,Iteration 1: SSE = 47.92672
Iteration 6: SSE = 638.6042,,,,,,Iteration 2: SSE = 24.32009,,,,,,Iteration 2: SSE = 24.32009
