Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 1905.628,,,,,,Iteration 1: SSE = 1957.616,,,,,,Iteration 1: SSE = 2008.888
Iteration 2: SSE = 814.5662,,,,,,Iteration 2: SSE = 1086.83,,,,,,Iteration 2: SSE = 980.9814
Iteration 3: SSE = 574.0024,,,,,,Iteration 3: SSE = 819.3665,,,,,,Iteration 3: SSE = 619.1166
Iteration 4: SSE = 569.2484,,,,,,Iteration 4: SSE = 606.1468,,,,,,Iteration 4: SSE = 574.2132
Iteration 5: SSE = 564.3093,,,,,,Iteration 5: SSE = 598.4734,,,,,,Iteration 5: SSE = 561.939
Iteration 6: SSE = 559.2162,,,,,,Iteration 6: SSE = 594.3631,,,,,,Iteration 6: SSE = 549.4857
Iteration 7: SSE = 554.042,,,,,,Iteration 7: SSE = 592.3283,,,,,,Iteration 7: SSE = 544.1606
Iteration 8: SSE = 550.9777,,,,,,Iteration 8: SSE = 589.5572,,,,,,Iteration 8: SSE = 539.858
Iteration 9: SSE = 550.5586,,,,,,Iteration 9: SSE = 587.6876,,,,,,Iteration 9: SSE = 536.1776
,,,,,,Iteration 10: SSE = 584.8854,,,,,,Iteration 10: SSE = 535.176
Run 2,,,,,,Iteration 11: SSE = 583.4595,,,,,,Iteration 11: SSE = 534.7778
-----,,,,,,Iteration 12: SSE = 583.1541,,,,,,
Iteration 1: SSE = 1905.628,,,,,,,,,,,,Run 2
Iteration 2: SSE = 814.5662,,,,,,Run 2,,,,,,-----
Iteration 3: SSE = 574.0024,,,,,,-----,,,,,,Iteration 1: SSE = 2008.888
Iteration 4: SSE = 569.2484,,,,,,Iteration 1: SSE = 1957.616,,,,,,Iteration 2: SSE = 980.9814
Iteration 5: SSE = 564.3093,,,,,,Iteration 2: SSE = 1086.83,,,,,,Iteration 3: SSE = 619.1166
Iteration 6: SSE = 559.2162,,,,,,Iteration 3: SSE = 819.3665,,,,,,Iteration 4: SSE = 574.2132
Iteration 7: SSE = 554.042,,,,,,Iteration 4: SSE = 606.1468,,,,,,Iteration 5: SSE = 561.939
Iteration 8: SSE = 550.9777,,,,,,Iteration 5: SSE = 598.4734,,,,,,Iteration 6: SSE = 549.4857
Iteration 9: SSE = 550.5586,,,,,,Iteration 6: SSE = 594.3631,,,,,,Iteration 7: SSE = 544.1606
,,,,,,Iteration 7: SSE = 592.3283,,,,,,Iteration 8: SSE = 539.858
Run 3,,,,,,Iteration 8: SSE = 589.5572,,,,,,Iteration 9: SSE = 536.1776
-----,,,,,,Iteration 9: SSE = 587.6876,,,,,,Iteration 10: SSE = 535.176
Iteration 1: SSE = 1905.628,,,,,,Iteration 10: SSE = 584.8854,,,,,,Iteration 11: SSE = 534.7778
Iteration 2: SSE = 814.5662,,,,,,Iteration 11: SSE = 583.4595,,,,,,
Iteration 3: SSE = 574.0024,,,,,,Iteration 12: SSE = 583.1541,,,,,,Run 3
Iteration 4: SSE = 569.2484,,,,,,,,,,,,-----
Iteration 5: SSE = 564.3093,,,,,,Run 3,,,,,,Iteration 1: SSE = 2008.888
Iteration 6: SSE = 559.2162,,,,,,-----,,,,,,Iteration 2: SSE = 980.9814
Iteration 7: SSE = 554.042,,,,,,Iteration 1: SSE = 1962.071,,,,,,Iteration 3: SSE = 619.1166
Iteration 8: SSE = 550.9777,,,,,,Iteration 2: SSE = 928.9731,,,,,,Iteration 4: SSE = 574.2132
