Peroformance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 1880.014,,,,,,Iteration 1: SSE = 1722.159,,,,,,Iteration 1: SSE = 1765.128
Iteration 2: SSE = 1277.168,,,,,,Iteration 2: SSE = 1289.47,,,,,,Iteration 2: SSE = 1341.457
Iteration 3: SSE = 1130.759,,,,,,Iteration 3: SSE = 1039.321,,,,,,Iteration 3: SSE = 1059.323
Iteration 4: SSE = 938.577,,,,,,Iteration 4: SSE = 860.3658,,,,,,Iteration 4: SSE = 920.4124
Iteration 5: SSE = 834.757,,,,,,Iteration 5: SSE = 853.4665,,,,,,Iteration 5: SSE = 911.8801
Iteration 6: SSE = 814.5884,,,,,,Iteration 6: SSE = 850.8322,,,,,,Iteration 6: SSE = 899.1954
Iteration 7: SSE = 796.3219,,,,,,Iteration 7: SSE = 849.7321,,,,,,Iteration 7: SSE = 888.9082
Iteration 8: SSE = 791.6925,,,,,,Iteration 8: SSE = 848.5017,,,,,,Iteration 8: SSE = 883.062
Iteration 9: SSE = 790.0336,,,,,,Iteration 9: SSE = 845.4098,,,,,,Iteration 9: SSE = 876.5153
Iteration 10: SSE = 788.0593,,,,,,Iteration 10: SSE = 836.572,,,,,,Iteration 10: SSE = 869.029
Iteration 11: SSE = 786.8149,,,,,,Iteration 11: SSE = 812.7864,,,,,,Iteration 11: SSE = 866.8859
Iteration 12: SSE = 786.6328,,,,,,Iteration 12: SSE = 799.5518,,,,,,Iteration 12: SSE = 865.2746
,,,,,,Iteration 13: SSE = 799.3001,,,,,,Iteration 13: SSE = 864.552
Run 2,,,,,,,,,,,,
-----,,,,,,Run 2,,,,,,Run 2
Iteration 1: SSE = 1880.014,,,,,,-----,,,,,,-----
Iteration 2: SSE = 1277.168,,,,,,Iteration 1: SSE = 1722.159,,,,,,Iteration 1: SSE = 1765.128
Iteration 3: SSE = 1130.759,,,,,,Iteration 2: SSE = 1289.47,,,,,,Iteration 2: SSE = 1341.457
Iteration 4: SSE = 938.577,,,,,,Iteration 3: SSE = 1039.321,,,,,,Iteration 3: SSE = 1059.323
Iteration 5: SSE = 834.757,,,,,,Iteration 4: SSE = 860.3658,,,,,,Iteration 4: SSE = 920.4124
Iteration 6: SSE = 814.5884,,,,,,Iteration 5: SSE = 853.4665,,,,,,Iteration 5: SSE = 911.8801
Iteration 7: SSE = 796.3219,,,,,,Iteration 6: SSE = 850.8322,,,,,,Iteration 6: SSE = 899.1954
Iteration 8: SSE = 791.6925,,,,,,Iteration 7: SSE = 849.7321,,,,,,Iteration 7: SSE = 888.9082
Iteration 9: SSE = 790.0336,,,,,,Iteration 8: SSE = 848.5017,,,,,,Iteration 8: SSE = 883.062
Iteration 10: SSE = 788.0593,,,,,,Iteration 9: SSE = 845.4098,,,,,,Iteration 9: SSE = 876.5153
Iteration 11: SSE = 786.8149,,,,,,Iteration 10: SSE = 836.572,,,,,,Iteration 10: SSE = 869.029
Iteration 12: SSE = 786.6328,,,,,,Iteration 11: SSE = 812.7864,,,,,,Iteration 11: SSE = 866.8859
,,,,,,Iteration 12: SSE = 799.5518,,,,,,Iteration 12: SSE = 865.2746
Run 3,,,,,,Iteration 13: SSE = 799.3001,,,,,,Iteration 13: SSE = 864.552
-----,,,,,,,,,,,,
Iteration 1: SSE = 1880.014,,,,,,Run 3,,,,,,Run 3
Iteration 2: SSE = 1277.168,,,,,,-----,,,,,,-----
Iteration 3: SSE = 1130.759,,,,,,Iteration 1: SSE = 1722.159,,,,,,Iteration 1: SSE = 1765.128
Iteration 4: SSE = 938.577,,,,,,Iteration 2: SSE = 1289.47,,,,,,Iteration 2: SSE = 1341.457
Iteration 5: SSE = 834.757,,,,,,Iteration 3: SSE = 1039.321,,,,,,Iteration 3: SSE = 1059.323
Iteration 6: SSE = 814.5884,,,,,,Iteration 4: SSE = 860.3658,,,,,,Iteration 4: SSE = 920.4124
Iteration 7: SSE = 796.3219,,,,,,Iteration 5: SSE = 853.4665,,,,,,Iteration 5: SSE = 911.8801
Iteration 8: SSE = 791.6925,,,,,,Iteration 6: SSE = 850.8322,,,,,,Iteration 6: SSE = 899.1954
Iteration 9: SSE = 790.0336,,,,,,Iteration 7: SSE = 849.7321,,,,,,Iteration 7: SSE = 888.9082
Iteration 10: SSE = 788.0593,,,,,,Iteration 8: SSE = 848.5017,,,,,,Iteration 8: SSE = 883.062
Iteration 11: SSE = 786.8149,,,,,,Iteration 9: SSE = 845.4098,,,,,,Iteration 9: SSE = 876.5153
Iteration 12: SSE = 786.6328,,,,,,Iteration 10: SSE = 836.572,,,,,,Iteration 10: SSE = 869.029
,,,,,,Iteration 11: SSE = 812.7864,,,,,,Iteration 11: SSE = 866.8859
