Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 1653.085,,,,,,Iteration 1: SSE = 1579.92,,,,,,Iteration 1: SSE = 1689.797
Iteration 2: SSE = 1076.113,,,,,,Iteration 2: SSE = 1046.483,,,,,,Iteration 2: SSE = 1097.015
Iteration 3: SSE = 938.6431,,,,,,Iteration 3: SSE = 945.0996,,,,,,Iteration 3: SSE = 961.7206
Iteration 4: SSE = 894.8944,,,,,,Iteration 4: SSE = 832.4393,,,,,,Iteration 4: SSE = 926.8159
Iteration 5: SSE = 870.266,,,,,,Iteration 5: SSE = 777.3294,,,,,,Iteration 5: SSE = 914.8747
Iteration 6: SSE = 866.6892,,,,,,Iteration 6: SSE = 753.8745,,,,,,Iteration 6: SSE = 899.6641
Iteration 7: SSE = 866.2933,,,,,,Iteration 7: SSE = 752.7551,,,,,,Iteration 7: SSE = 894.3554
,,,,,,Iteration 8: SSE = 752.536,,,,,,Iteration 8: SSE = 885.9159
Run 2,,,,,,,,,,,,Iteration 9: SSE = 883.9285
-----,,,,,,Run 2,,,,,,Iteration 10: SSE = 881.2767
Iteration 1: SSE = 1653.085,,,,,,-----,,,,,,Iteration 11: SSE = 879.3037
Iteration 2: SSE = 1076.113,,,,,,Iteration 1: SSE = 1579.92,,,,,,Iteration 12: SSE = 878.8426
Iteration 3: SSE = 938.6431,,,,,,Iteration 2: SSE = 1046.483,,,,,,
Iteration 4: SSE = 894.8944,,,,,,Iteration 3: SSE = 945.0996,,,,,,Run 2
Iteration 5: SSE = 870.266,,,,,,Iteration 4: SSE = 832.4393,,,,,,-----
Iteration 6: SSE = 866.6892,,,,,,Iteration 5: SSE = 777.3294,,,,,,Iteration 1: SSE = 1689.797
Iteration 7: SSE = 866.2933,,,,,,Iteration 6: SSE = 753.8745,,,,,,Iteration 2: SSE = 1097.015
,,,,,,Iteration 7: SSE = 752.7551,,,,,,Iteration 3: SSE = 961.7206
Run 3,,,,,,Iteration 8: SSE = 752.536,,,,,,Iteration 4: SSE = 926.8159
-----,,,,,,,,,,,,Iteration 5: SSE = 914.8747
Iteration 1: SSE = 1648.47,,,,,,Run 3,,,,,,Iteration 6: SSE = 899.6641
Iteration 2: SSE = 1019.04,,,,,,-----,,,,,,Iteration 7: SSE = 894.3554
Iteration 3: SSE = 866.6591,,,,,,Iteration 1: SSE = 1579.92,,,,,,Iteration 8: SSE = 885.9159
Iteration 4: SSE = 812.8128,,,,,,Iteration 2: SSE = 1046.483,,,,,,Iteration 9: SSE = 883.9285
Iteration 5: SSE = 799.583,,,,,,Iteration 3: SSE = 945.0996,,,,,,Iteration 10: SSE = 881.2767
Iteration 6: SSE = 779.7243,,,,,,Iteration 4: SSE = 832.4393,,,,,,Iteration 11: SSE = 879.3037
Iteration 7: SSE = 773.3143,,,,,,Iteration 5: SSE = 777.3294,,,,,,Iteration 12: SSE = 878.8426
Iteration 8: SSE = 772.7442,,,,,,Iteration 6: SSE = 753.8745,,,,,,
,,,,,,Iteration 7: SSE = 752.7551,,,,,,Run 3
Run 4,,,,,,Iteration 8: SSE = 752.536,,,,,,-----
-----,,,,,,,,,,,,Iteration 1: SSE = 1689.797
Iteration 1: SSE = 1648.47,,,,,,Run 4,,,,,,Iteration 2: SSE = 1097.015
Iteration 2: SSE = 1019.04,,,,,,-----,,,,,,Iteration 3: SSE = 961.7206
Iteration 3: SSE = 866.6591,,,,,,Iteration 1: SSE = 1579.92,,,,,,Iteration 4: SSE = 926.8159
Iteration 4: SSE = 812.8128,,,,,,Iteration 2: SSE = 1046.483,,,,,,Iteration 5: SSE = 914.8747
Iteration 5: SSE = 799.583,,,,,,Iteration 3: SSE = 945.0996,,,,,,Iteration 6: SSE = 899.6641
Iteration 6: SSE = 779.7243,,,,,,Iteration 4: SSE = 832.4393,,,,,,Iteration 7: SSE = 894.3554
Iteration 7: SSE = 773.3143,,,,,,Iteration 5: SSE = 777.3294,,,,,,Iteration 8: SSE = 885.9159
Iteration 8: SSE = 772.7442,,,,,,Iteration 6: SSE = 753.8745,,,,,,Iteration 9: SSE = 883.9285
,,,,,,Iteration 7: SSE = 752.7551,,,,,,Iteration 10: SSE = 881.2767
Run 5,,,,,,Iteration 8: SSE = 752.536,,,,,,Iteration 11: SSE = 879.3037
-----,,,,,,,,,,,,Iteration 12: SSE = 878.8426
Iteration 1: SSE = 1648.47,,,,,,Run 5,,,,,,
Iteration 2: SSE = 1019.04,,,,,,-----,,,,,,Run 4
Iteration 3: SSE = 866.6591,,,,,,Iteration 1: SSE = 1606.59,,,,,,-----
Iteration 4: SSE = 812.8128,,,,,,Iteration 2: SSE = 1125.821,,,,,,Iteration 1: SSE = 1689.797
Iteration 5: SSE = 799.583,,,,,,Iteration 3: SSE = 1007.181,,,,,,Iteration 2: SSE = 1097.015
Iteration 6: SSE = 779.7243,,,,,,Iteration 4: SSE = 919.0675,,,,,,Iteration 3: SSE = 961.7206
Iteration 7: SSE = 773.3143,,,,,,Iteration 5: SSE = 886.8247,,,,,,Iteration 4: SSE = 926.8159
Iteration 8: SSE = 772.7442,,,,,,Iteration 6: SSE = 871.2787,,,,,,Iteration 5: SSE = 914.8747
,,,,,,Iteration 7: SSE = 834.362,,,,,,Iteration 6: SSE = 899.6641
Run 6,,,,,,Iteration 8: SSE = 791.6767,,,,,,Iteration 7: SSE = 894.3554
-----,,,,,,Iteration 9: SSE = 777.0992,,,,,,Iteration 8: SSE = 885.9159
Iteration 1: SSE = 1648.47,,,,,,Iteration 10: SSE = 771.4386,,,,,,Iteration 9: SSE = 883.9285
Iteration 2: SSE = 1019.04,,,,,,Iteration 11: SSE = 769.6203,,,,,,Iteration 10: SSE = 881.2767
Iteration 3: SSE = 866.6591,,,,,,Iteration 12: SSE = 769.4803,,,,,,Iteration 11: SSE = 879.3037
Iteration 4: SSE = 812.8128,,,,,,,,,,,,Iteration 12: SSE = 878.8426
Iteration 5: SSE = 799.583,,,,,,Run 6,,,,,,
Iteration 6: SSE = 779.7243,,,,,,-----,,,,,,Run 5
Iteration 7: SSE = 773.3143,,,,,,Iteration 1: SSE = 1606.59,,,,,,-----
Iteration 8: SSE = 772.7442,,,,,,Iteration 2: SSE = 1125.821,,,,,,Iteration 1: SSE = 1689.797
,,,,,,Iteration 3: SSE = 1007.181,,,,,,Iteration 2: SSE = 1097.015
Run 7,,,,,,Iteration 4: SSE = 919.0675,,,,,,Iteration 3: SSE = 961.7206
-----,,,,,,Iteration 5: SSE = 886.8247,,,,,,Iteration 4: SSE = 926.8159
Iteration 1: SSE = 1648.47,,,,,,Iteration 6: SSE = 871.2787,,,,,,Iteration 5: SSE = 914.8747
Iteration 2: SSE = 1019.04,,,,,,Iteration 7: SSE = 834.362,,,,,,Iteration 6: SSE = 899.6641
Iteration 3: SSE = 866.6591,,,,,,Iteration 8: SSE = 791.6767,,,,,,Iteration 7: SSE = 894.3554
Iteration 4: SSE = 812.8128,,,,,,Iteration 9: SSE = 777.0992,,,,,,Iteration 8: SSE = 885.9159
Iteration 5: SSE = 799.583,,,,,,Iteration 10: SSE = 771.4386,,,,,,Iteration 9: SSE = 883.9285
Iteration 6: SSE = 779.7243,,,,,,Iteration 11: SSE = 769.6203,,,,,,Iteration 10: SSE = 881.2767
Iteration 7: SSE = 773.3143,,,,,,Iteration 12: SSE = 769.4803,,,,,,Iteration 11: SSE = 879.3037
Iteration 8: SSE = 772.7442,,,,,,,,,,,,Iteration 12: SSE = 878.8426
,,,,,,Run 7,,,,,,
Run 8,,,,,,-----,,,,,,Run 6
-----,,,,,,Iteration 1: SSE = 1606.59,,,,,,-----
Iteration 1: SSE = 1648.47,,,,,,Iteration 2: SSE = 1125.821,,,,,,Iteration 1: SSE = 1689.797
Iteration 2: SSE = 1019.04,,,,,,Iteration 3: SSE = 1007.181,,,,,,Iteration 2: SSE = 1097.015
Iteration 3: SSE = 866.6591,,,,,,Iteration 4: SSE = 919.0675,,,,,,Iteration 3: SSE = 961.7206
Iteration 4: SSE = 812.8128,,,,,,Iteration 5: SSE = 886.8247,,,,,,Iteration 4: SSE = 926.8159
Iteration 5: SSE = 799.583,,,,,,Iteration 6: SSE = 871.2787,,,,,,Iteration 5: SSE = 914.8747
Iteration 6: SSE = 779.7243,,,,,,Iteration 7: SSE = 834.362,,,,,,Iteration 6: SSE = 899.6641
Iteration 7: SSE = 773.3143,,,,,,Iteration 8: SSE = 791.6767,,,,,,Iteration 7: SSE = 894.3554
Iteration 8: SSE = 772.7442,,,,,,Iteration 9: SSE = 777.0992,,,,,,Iteration 8: SSE = 885.9159
,,,,,,Iteration 10: SSE = 771.4386,,,,,,Iteration 9: SSE = 883.9285
Run 9,,,,,,Iteration 11: SSE = 769.6203,,,,,,Iteration 10: SSE = 881.2767
-----,,,,,,Iteration 12: SSE = 769.4803,,,,,,Iteration 11: SSE = 879.3037
Iteration 1: SSE = 1648.47,,,,,,,,,,,,Iteration 12: SSE = 878.8426
Iteration 2: SSE = 1019.04,,,,,,Run 8,,,,,,
Iteration 3: SSE = 866.6591,,,,,,-----,,,,,,Run 7
Iteration 4: SSE = 812.8128,,,,,,Iteration 1: SSE = 1606.59,,,,,,-----
Iteration 5: SSE = 799.583,,,,,,Iteration 2: SSE = 1125.821,,,,,,Iteration 1: SSE = 1689.797
Iteration 6: SSE = 779.7243,,,,,,Iteration 3: SSE = 1007.181,,,,,,Iteration 2: SSE = 1097.015
Iteration 7: SSE = 773.3143,,,,,,Iteration 4: SSE = 919.0675,,,,,,Iteration 3: SSE = 961.7206
Iteration 8: SSE = 772.7442,,,,,,Iteration 5: SSE = 886.8247,,,,,,Iteration 4: SSE = 926.8159
,,,,,,Iteration 6: SSE = 871.2787,,,,,,Iteration 5: SSE = 914.8747
Run 10,,,,,,Iteration 7: SSE = 834.362,,,,,,Iteration 6: SSE = 899.6641
-----,,,,,,Iteration 8: SSE = 791.6767,,,,,,Iteration 7: SSE = 894.3554
Iteration 1: SSE = 1648.47,,,,,,Iteration 9: SSE = 777.0992,,,,,,Iteration 8: SSE = 885.9159
Iteration 2: SSE = 1019.04,,,,,,Iteration 10: SSE = 771.4386,,,,,,Iteration 9: SSE = 883.9285
Iteration 3: SSE = 866.6591,,,,,,Iteration 11: SSE = 769.6203,,,,,,Iteration 10: SSE = 881.2767
Iteration 4: SSE = 812.8128,,,,,,Iteration 12: SSE = 769.4803,,,,,,Iteration 11: SSE = 879.3037
Iteration 5: SSE = 799.583,,,,,,,,,,,,Iteration 12: SSE = 878.8426
Iteration 6: SSE = 779.7243,,,,,,Run 9,,,,,,
Iteration 7: SSE = 773.3143,,,,,,-----,,,,,,Run 8
Iteration 8: SSE = 772.7442,,,,,,Iteration 1: SSE = 1606.59,,,,,,-----
,,,,,,Iteration 2: SSE = 1125.821,,,,,,Iteration 1: SSE = 1689.797
Run 11,,,,,,Iteration 3: SSE = 1007.181,,,,,,Iteration 2: SSE = 1097.015
-----,,,,,,Iteration 4: SSE = 919.0675,,,,,,Iteration 3: SSE = 961.7206
Iteration 1: SSE = 1648.47,,,,,,Iteration 5: SSE = 886.8247,,,,,,Iteration 4: SSE = 926.8159
Iteration 2: SSE = 1019.04,,,,,,Iteration 6: SSE = 871.2787,,,,,,Iteration 5: SSE = 914.8747
Iteration 3: SSE = 866.6591,,,,,,Iteration 7: SSE = 834.362,,,,,,Iteration 6: SSE = 899.6641
Iteration 4: SSE = 812.8128,,,,,,Iteration 8: SSE = 791.6767,,,,,,Iteration 7: SSE = 894.3554
Iteration 5: SSE = 799.583,,,,,,Iteration 9: SSE = 777.0992,,,,,,Iteration 8: SSE = 885.9159
Iteration 6: SSE = 779.7243,,,,,,Iteration 10: SSE = 771.4386,,,,,,Iteration 9: SSE = 883.9285
Iteration 7: SSE = 773.3143,,,,,,Iteration 11: SSE = 769.6203,,,,,,Iteration 10: SSE = 881.2767
Iteration 8: SSE = 772.7442,,,,,,Iteration 12: SSE = 769.4803,,,,,,Iteration 11: SSE = 879.3037
,,,,,,,,,,,,Iteration 12: SSE = 878.8426
Run 12,,,,,,Run 10,,,,,,
-----,,,,,,-----,,,,,,Run 9
Iteration 1: SSE = 1648.47,,,,,,Iteration 1: SSE = 1606.59,,,,,,-----
Iteration 2: SSE = 1019.04,,,,,,Iteration 2: SSE = 1125.821,,,,,,Iteration 1: SSE = 1689.797
Iteration 3: SSE = 866.6591,,,,,,Iteration 3: SSE = 1007.181,,,,,,Iteration 2: SSE = 1097.015
Iteration 4: SSE = 812.8128,,,,,,Iteration 4: SSE = 919.0675,,,,,,Iteration 3: SSE = 961.7206
Iteration 5: SSE = 799.583,,,,,,Iteration 5: SSE = 886.8247,,,,,,Iteration 4: SSE = 926.8159
Iteration 6: SSE = 779.7243,,,,,,Iteration 6: SSE = 871.2787,,,,,,Iteration 5: SSE = 914.8747
Iteration 7: SSE = 773.3143,,,,,,Iteration 7: SSE = 834.362,,,,,,Iteration 6: SSE = 899.6641
