Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 11091.33,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 1: SSE = 11439.34
Iteration 2: SSE = 9099.926,,,,,,Iteration 2: SSE = 10759.47,,,,,,Iteration 2: SSE = 10512.67
Iteration 3: SSE = 9060.388,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 3: SSE = 9152.61
Iteration 4: SSE = 9058.661,,,,,,Iteration 4: SSE = 9241.424,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 5: SSE = 9077.026,,,,,,Iteration 5: SSE = 9063.718
Run 2,,,,,,Iteration 6: SSE = 9058.661,,,,,,
-----,,,,,,Iteration 7: SSE = 9058.661,,,,,,Run 2
Iteration 1: SSE = 11398.15,,,,,,,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Run 2,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,-----,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,Iteration 2: SSE = 10759.47,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 5: SSE = 9063.718
Run 3,,,,,,Iteration 4: SSE = 9241.424,,,,,,
-----,,,,,,Iteration 5: SSE = 9077.026,,,,,,Run 3
Iteration 1: SSE = 11398.15,,,,,,Iteration 6: SSE = 9058.661,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 7: SSE = 9058.661,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Run 3,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,-----,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 5: SSE = 9063.718
Run 4,,,,,,Iteration 2: SSE = 10759.47,,,,,,
-----,,,,,,Iteration 3: SSE = 9942.67,,,,,,Run 4
Iteration 1: SSE = 11398.15,,,,,,Iteration 4: SSE = 9241.424,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 5: SSE = 9077.026,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,Iteration 6: SSE = 9058.661,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 7: SSE = 9058.661,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Run 4,,,,,,Iteration 5: SSE = 9063.718
Run 5,,,,,,-----,,,,,,
-----,,,,,,Iteration 1: SSE = 11317.81,,,,,,Run 5
Iteration 1: SSE = 11398.15,,,,,,Iteration 2: SSE = 10759.47,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,Iteration 4: SSE = 9241.424,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 5: SSE = 9077.026,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,Iteration 6: SSE = 9058.661,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 7: SSE = 9058.661,,,,,,Iteration 5: SSE = 9063.718
Run 6,,,,,,,,,,,,
-----,,,,,,Run 5,,,,,,Run 6
Iteration 1: SSE = 11398.15,,,,,,-----,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,Iteration 2: SSE = 10759.47,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,Iteration 4: SSE = 9241.424,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 5: SSE = 9077.026,,,,,,Iteration 5: SSE = 9063.718
Run 7,,,,,,Iteration 6: SSE = 9058.661,,,,,,
-----,,,,,,Iteration 7: SSE = 9058.661,,,,,,Run 7
Iteration 1: SSE = 11398.15,,,,,,,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Run 6,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,-----,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,Iteration 2: SSE = 10759.47,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 5: SSE = 9063.718
Run 8,,,,,,Iteration 4: SSE = 9241.424,,,,,,
-----,,,,,,Iteration 5: SSE = 9077.026,,,,,,Run 8
Iteration 1: SSE = 11398.15,,,,,,Iteration 6: SSE = 9058.661,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 7: SSE = 9058.661,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Run 7,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,-----,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 5: SSE = 9063.718
Run 9,,,,,,Iteration 2: SSE = 10759.47,,,,,,
-----,,,,,,Iteration 3: SSE = 9942.67,,,,,,Run 9
Iteration 1: SSE = 11398.15,,,,,,Iteration 4: SSE = 9241.424,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 5: SSE = 9077.026,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,Iteration 6: SSE = 9058.661,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 7: SSE = 9058.661,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Run 8,,,,,,Iteration 5: SSE = 9063.718
Run 10,,,,,,-----,,,,,,
-----,,,,,,Iteration 1: SSE = 11317.81,,,,,,Run 10
Iteration 1: SSE = 11398.15,,,,,,Iteration 2: SSE = 10759.47,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,Iteration 4: SSE = 9241.424,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 5: SSE = 9077.026,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,Iteration 6: SSE = 9058.661,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 7: SSE = 9058.661,,,,,,Iteration 5: SSE = 9063.718
Run 11,,,,,,,,,,,,
-----,,,,,,Run 9,,,,,,Run 11
Iteration 1: SSE = 11398.15,,,,,,-----,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,Iteration 2: SSE = 10759.47,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,Iteration 4: SSE = 9241.424,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 5: SSE = 9077.026,,,,,,Iteration 5: SSE = 9063.718
Run 12,,,,,,Iteration 6: SSE = 9058.661,,,,,,
-----,,,,,,Iteration 7: SSE = 9058.661,,,,,,Run 12
Iteration 1: SSE = 11398.15,,,,,,,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Run 10,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,-----,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,Iteration 2: SSE = 10759.47,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 5: SSE = 9063.718
Run 13,,,,,,Iteration 4: SSE = 9241.424,,,,,,
-----,,,,,,Iteration 5: SSE = 9077.026,,,,,,Run 13
Iteration 1: SSE = 11398.15,,,,,,Iteration 6: SSE = 9058.661,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 7: SSE = 9058.661,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Run 11,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,-----,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Iteration 1: SSE = 11317.81,,,,,,Iteration 5: SSE = 9063.718
Run 14,,,,,,Iteration 2: SSE = 10759.47,,,,,,
-----,,,,,,Iteration 3: SSE = 9942.67,,,,,,Run 14
Iteration 1: SSE = 11398.15,,,,,,Iteration 4: SSE = 9241.424,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 5: SSE = 9077.026,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,Iteration 6: SSE = 9058.661,,,,,,Iteration 2: SSE = 10512.67
Iteration 4: SSE = 9059.828,,,,,,Iteration 7: SSE = 9058.661,,,,,,Iteration 3: SSE = 9152.61
Iteration 5: SSE = 9058.661,,,,,,,,,,,,Iteration 4: SSE = 9071.033
,,,,,,Run 12,,,,,,Iteration 5: SSE = 9063.718
Run 15,,,,,,-----,,,,,,
-----,,,,,,Iteration 1: SSE = 11317.81,,,,,,Run 15
Iteration 1: SSE = 11398.15,,,,,,Iteration 2: SSE = 10759.47,,,,,,-----
Iteration 2: SSE = 9165.88,,,,,,Iteration 3: SSE = 9942.67,,,,,,Iteration 1: SSE = 11439.34
Iteration 3: SSE = 9073.808,,,,,,Iteration 4: SSE = 9241.424,,,,,,Iteration 2: SSE = 10512.67
