Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 223593.8,,,,,,Iteration 1: SSE = 222632,,,,,,Iteration 1: SSE = 225352.1
Iteration 2: SSE = 99385.76,,,,,,Iteration 2: SSE = 108024,,,,,,Iteration 2: SSE = 66399.39
Iteration 3: SSE = 81064.77,,,,,,Iteration 3: SSE = 74713.46,,,,,,Iteration 3: SSE = 57236.85
Iteration 4: SSE = 60890.2,,,,,,Iteration 4: SSE = 55026.86,,,,,,Iteration 4: SSE = 55688.01
Iteration 5: SSE = 57297.65,,,,,,Iteration 5: SSE = 49765.25,,,,,,Iteration 5: SSE = 54079.87
Iteration 6: SSE = 53769.82,,,,,,Iteration 6: SSE = 49239.65,,,,,,Iteration 6: SSE = 50950.47
Iteration 7: SSE = 49893.34,,,,,,Iteration 7: SSE = 49065.45,,,,,,Iteration 7: SSE = 49622.31
Iteration 8: SSE = 49113.51,,,,,,Iteration 8: SSE = 48997.45,,,,,,Iteration 8: SSE = 49261.23
Iteration 9: SSE = 48984.04,,,,,,Iteration 9: SSE = 48960.7,,,,,,Iteration 9: SSE = 49107.88
Iteration 10: SSE = 48941.68,,,,,,,,,,,,Iteration 10: SSE = 49035.42
,,,,,,Run 2,,,,,,Iteration 11: SSE = 48995.31
Run 2,,,,,,-----,,,,,,
-----,,,,,,Iteration 1: SSE = 224025.7,,,,,,Run 2
Iteration 1: SSE = 221175.5,,,,,,Iteration 2: SSE = 97722.95,,,,,,-----
Iteration 2: SSE = 78855.69,,,,,,Iteration 3: SSE = 57288.76,,,,,,Iteration 1: SSE = 224132.7
Iteration 3: SSE = 58531.03,,,,,,Iteration 4: SSE = 54728.96,,,,,,Iteration 2: SSE = 65888.08
Iteration 4: SSE = 56429.68,,,,,,Iteration 5: SSE = 53909.85,,,,,,Iteration 3: SSE = 56515.21
Iteration 5: SSE = 56101.31,,,,,,Iteration 6: SSE = 52292.4,,,,,,Iteration 4: SSE = 51214.3
Iteration 6: SSE = 55991.69,,,,,,Iteration 7: SSE = 49908.06,,,,,,Iteration 5: SSE = 49063.18
Iteration 7: SSE = 55934.02,,,,,,Iteration 8: SSE = 49034.94,,,,,,Iteration 6: SSE = 48963.71
Iteration 8: SSE = 55889.76,,,,,,Iteration 9: SSE = 48945.2,,,,,,Iteration 7: SSE = 48943.81
,,,,,,Iteration 10: SSE = 48930.11,,,,,,
Run 3,,,,,,,,,,,,Run 3
-----,,,,,,Run 3,,,,,,-----
Iteration 1: SSE = 221835.2,,,,,,-----,,,,,,Iteration 1: SSE = 225799
Iteration 2: SSE = 95442.46,,,,,,Iteration 1: SSE = 222280.4,,,,,,Iteration 2: SSE = 96610.95
Iteration 3: SSE = 75201.7,,,,,,Iteration 2: SSE = 97762.03,,,,,,Iteration 3: SSE = 85371.98
Iteration 4: SSE = 59043.95,,,,,,Iteration 3: SSE = 73821.55,,,,,,Iteration 4: SSE = 64464.89
Iteration 5: SSE = 57801.25,,,,,,Iteration 4: SSE = 53406.47,,,,,,Iteration 5: SSE = 51920
Iteration 6: SSE = 57349.4,,,,,,Iteration 5: SSE = 50441.34,,,,,,Iteration 6: SSE = 49464.92
Iteration 7: SSE = 57097.41,,,,,,Iteration 6: SSE = 49679.92,,,,,,Iteration 7: SSE = 49127.3
Iteration 8: SSE = 56829.96,,,,,,Iteration 7: SSE = 49203.7,,,,,,Iteration 8: SSE = 49022.86
