Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 304044.5,,,,,,Iteration 1: SSE = 306397.7,,,,,,Iteration 1: SSE = 302504.7
Iteration 2: SSE = 164761.5,,,,,,Iteration 2: SSE = 160220.9,,,,,,Iteration 2: SSE = 159170
Iteration 3: SSE = 145394.6,,,,,,Iteration 3: SSE = 142338.5,,,,,,Iteration 3: SSE = 140829.6
Iteration 4: SSE = 135253.8,,,,,,Iteration 4: SSE = 134437.4,,,,,,Iteration 4: SSE = 133282.6
Iteration 5: SSE = 131689.1,,,,,,Iteration 5: SSE = 128943.4,,,,,,Iteration 5: SSE = 130240.2
Iteration 6: SSE = 129476.2,,,,,,Iteration 6: SSE = 126509,,,,,,Iteration 6: SSE = 128373.8
Iteration 7: SSE = 127421.4,,,,,,Iteration 7: SSE = 125508,,,,,,Iteration 7: SSE = 126797.9
Iteration 8: SSE = 126200.4,,,,,,Iteration 8: SSE = 124866.3,,,,,,Iteration 8: SSE = 125597.5
Iteration 9: SSE = 125221.3,,,,,,Iteration 9: SSE = 124323.4,,,,,,Iteration 9: SSE = 124914.8
Iteration 10: SSE = 124580.1,,,,,,Iteration 10: SSE = 123914.3,,,,,,Iteration 10: SSE = 124483.7
Iteration 11: SSE = 124155.2,,,,,,Iteration 11: SSE = 123601.9,,,,,,Iteration 11: SSE = 124184.5
Iteration 12: SSE = 123833,,,,,,Iteration 12: SSE = 123379.5,,,,,,Iteration 12: SSE = 123984.5
Iteration 13: SSE = 123619.3,,,,,,Iteration 13: SSE = 123207.5,,,,,,Iteration 13: SSE = 123844.3
Iteration 14: SSE = 123460.1,,,,,,Iteration 14: SSE = 123077.3,,,,,,Iteration 14: SSE = 123758.5
Iteration 15: SSE = 123349.2,,,,,,Iteration 15: SSE = 122944.4,,,,,,
,,,,,,Iteration 16: SSE = 122810,,,,,,Run 2
Run 2,,,,,,Iteration 17: SSE = 122712.9,,,,,,-----
-----,,,,,,,,,,,,Iteration 1: SSE = 305619.4
Iteration 1: SSE = 305387.9,,,,,,Run 2,,,,,,Iteration 2: SSE = 157518
Iteration 2: SSE = 163198.8,,,,,,-----,,,,,,Iteration 3: SSE = 138826.4
Iteration 3: SSE = 147018.6,,,,,,Iteration 1: SSE = 303990.5,,,,,,Iteration 4: SSE = 131857.3
Iteration 4: SSE = 139559.4,,,,,,Iteration 2: SSE = 154205.8,,,,,,Iteration 5: SSE = 128777.7
Iteration 5: SSE = 134911.9,,,,,,Iteration 3: SSE = 136119,,,,,,Iteration 6: SSE = 127177.5
Iteration 6: SSE = 131918.9,,,,,,Iteration 4: SSE = 130878.3,,,,,,Iteration 7: SSE = 126019
Iteration 7: SSE = 129369.3,,,,,,Iteration 5: SSE = 128148.4,,,,,,Iteration 8: SSE = 125212
Iteration 8: SSE = 127873.1,,,,,,Iteration 6: SSE = 126704.7,,,,,,Iteration 9: SSE = 124707.5
Iteration 9: SSE = 127146.8,,,,,,Iteration 7: SSE = 125946.4,,,,,,Iteration 10: SSE = 124328.9
Iteration 10: SSE = 126545.4,,,,,,Iteration 8: SSE = 125421.2,,,,,,Iteration 11: SSE = 123956.9
Iteration 11: SSE = 125821.5,,,,,,Iteration 9: SSE = 125057.2,,,,,,Iteration 12: SSE = 123569
Iteration 12: SSE = 125053.8,,,,,,Iteration 10: SSE = 124831.7,,,,,,Iteration 13: SSE = 123236.1
