Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,
-----,,,,,,-----,,,,,,Run 1
Iteration 1: SSE = 201137.7,,,,,,Iteration 1: SSE = 208235.6,,,,,,-----
Iteration 2: SSE = 144516.7,,,,,,Iteration 2: SSE = 152175.1,,,,,,Iteration 1: SSE = 195145.5
Iteration 3: SSE = 136148.2,,,,,,Iteration 3: SSE = 141506.9,,,,,,Iteration 2: SSE = 141378
Iteration 4: SSE = 132397.6,,,,,,Iteration 4: SSE = 136132.7,,,,,,Iteration 3: SSE = 134175.6
Iteration 5: SSE = 129548.1,,,,,,Iteration 5: SSE = 131096.1,,,,,,Iteration 4: SSE = 131060.4
Iteration 6: SSE = 127217.4,,,,,,Iteration 6: SSE = 126740.1,,,,,,Iteration 5: SSE = 129071.7
Iteration 7: SSE = 125738.4,,,,,,Iteration 7: SSE = 125249.7,,,,,,Iteration 6: SSE = 127728.8
Iteration 8: SSE = 125184.1,,,,,,Iteration 8: SSE = 124625.5,,,,,,Iteration 7: SSE = 126679.8
Iteration 9: SSE = 124864,,,,,,Iteration 9: SSE = 124340,,,,,,Iteration 8: SSE = 125762.5
Iteration 10: SSE = 124621.9,,,,,,Iteration 10: SSE = 124174,,,,,,Iteration 9: SSE = 125062.4
Iteration 11: SSE = 124399.1,,,,,,Iteration 11: SSE = 124036.2,,,,,,Iteration 10: SSE = 124622.1
Iteration 12: SSE = 124163.3,,,,,,Iteration 12: SSE = 123931,,,,,,Iteration 11: SSE = 124315.6
Iteration 13: SSE = 123929.1,,,,,,,,,,,,Iteration 12: SSE = 124054.9
Iteration 14: SSE = 123702.7,,,,,,Run 2,,,,,,Iteration 13: SSE = 123830.4
Iteration 15: SSE = 123454,,,,,,-----,,,,,,Iteration 14: SSE = 123672.8
Iteration 16: SSE = 123189.6,,,,,,Iteration 1: SSE = 199400.6,,,,,,Iteration 15: SSE = 123552.7
Iteration 17: SSE = 122944.7,,,,,,Iteration 2: SSE = 141799.8,,,,,,
Iteration 18: SSE = 122755.3,,,,,,Iteration 3: SSE = 135304.9,,,,,,Run 2
Iteration 19: SSE = 122605.8,,,,,,Iteration 4: SSE = 132100.7,,,,,,-----
Iteration 20: SSE = 122436.7,,,,,,Iteration 5: SSE = 130516.3,,,,,,Iteration 1: SSE = 209493.7
Iteration 21: SSE = 122253.7,,,,,,Iteration 6: SSE = 129216.5,,,,,,Iteration 2: SSE = 154257.5
Iteration 22: SSE = 122145.4,,,,,,Iteration 7: SSE = 127775.8,,,,,,Iteration 3: SSE = 140258.3
,,,,,,Iteration 8: SSE = 126547.2,,,,,,Iteration 4: SSE = 135256.2
Run 2,,,,,,Iteration 9: SSE = 125503.5,,,,,,Iteration 5: SSE = 133064.9
-----,,,,,,Iteration 10: SSE = 124829.8,,,,,,Iteration 6: SSE = 131120.5
Iteration 1: SSE = 192949.5,,,,,,Iteration 11: SSE = 124541.8,,,,,,Iteration 7: SSE = 129379.4
Iteration 2: SSE = 145857.7,,,,,,Iteration 12: SSE = 124398.3,,,,,,Iteration 8: SSE = 127863.6
Iteration 3: SSE = 137499.7,,,,,,Iteration 13: SSE = 124305.5,,,,,,Iteration 9: SSE = 126461.8
Iteration 4: SSE = 133925.3,,,,,,,,,,,,Iteration 10: SSE = 125258
Iteration 5: SSE = 132169.9,,,,,,Run 3,,,,,,Iteration 11: SSE = 124668
Iteration 6: SSE = 130441.1,,,,,,-----,,,,,,Iteration 12: SSE = 124273
Iteration 7: SSE = 128427.9,,,,,,Iteration 1: SSE = 210888.4,,,,,,Iteration 13: SSE = 123979.2
Iteration 8: SSE = 127307.6,,,,,,Iteration 2: SSE = 149421.5,,,,,,Iteration 14: SSE = 123748.7
Iteration 9: SSE = 126052.4,,,,,,Iteration 3: SSE = 140493.3,,,,,,Iteration 15: SSE = 123491.2
Iteration 10: SSE = 125277.9,,,,,,Iteration 4: SSE = 135487.6,,,,,,Iteration 16: SSE = 123211.1
Iteration 11: SSE = 124983.9,,,,,,Iteration 5: SSE = 131864.2,,,,,,Iteration 17: SSE = 123000.7
Iteration 12: SSE = 124655.5,,,,,,Iteration 6: SSE = 129063.1,,,,,,Iteration 18: SSE = 122879.4
Iteration 13: SSE = 124286.5,,,,,,Iteration 7: SSE = 126602.4,,,,,,
Iteration 14: SSE = 123958.5,,,,,,Iteration 8: SSE = 125345.1,,,,,,Run 3
Iteration 15: SSE = 123746.5,,,,,,Iteration 9: SSE = 124744,,,,,,-----
Iteration 16: SSE = 123589.4,,,,,,Iteration 10: SSE = 124427.1,,,,,,Iteration 1: SSE = 197203.8
Iteration 17: SSE = 123475.1,,,,,,Iteration 11: SSE = 124173.3,,,,,,Iteration 2: SSE = 142671.5
,,,,,,Iteration 12: SSE = 123906,,,,,,Iteration 3: SSE = 134338.1
Run 3,,,,,,Iteration 13: SSE = 123624,,,,,,Iteration 4: SSE = 130281.4
-----,,,,,,Iteration 14: SSE = 123388.8,,,,,,Iteration 5: SSE = 128538.8
Iteration 1: SSE = 195920.6,,,,,,Iteration 15: SSE = 123185,,,,,,Iteration 6: SSE = 127500.9
