Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 37044.48,,,,,,Iteration 1: SSE = 36646.13,,,,,,Iteration 1: SSE = 35732.13
Iteration 2: SSE = 19701.37,,,,,,Iteration 2: SSE = 18833.06,,,,,,Iteration 2: SSE = 16848.88
Iteration 3: SSE = 17103.13,,,,,,Iteration 3: SSE = 16926.09,,,,,,Iteration 3: SSE = 13531.22
Iteration 4: SSE = 16271.38,,,,,,Iteration 4: SSE = 15452.24,,,,,,Iteration 4: SSE = 12591.99
Iteration 5: SSE = 15310.88,,,,,,Iteration 5: SSE = 14854.96,,,,,,Iteration 5: SSE = 12477.24
Iteration 6: SSE = 14463.32,,,,,,Iteration 6: SSE = 14669.4,,,,,,Iteration 6: SSE = 12452.78
Iteration 7: SSE = 14315.24,,,,,,Iteration 7: SSE = 14621.76,,,,,,Iteration 7: SSE = 12443.01
Iteration 8: SSE = 14279.89,,,,,,Iteration 8: SSE = 14616.63,,,,,,
Iteration 9: SSE = 14193.43,,,,,,,,,,,,Run 2
Iteration 10: SSE = 13920.8,,,,,,Run 2,,,,,,-----
Iteration 11: SSE = 13660.54,,,,,,-----,,,,,,Iteration 1: SSE = 35732.13
Iteration 12: SSE = 13099.07,,,,,,Iteration 1: SSE = 36646.13,,,,,,Iteration 2: SSE = 16848.88
Iteration 13: SSE = 12978.18,,,,,,Iteration 2: SSE = 18833.06,,,,,,Iteration 3: SSE = 13531.22
Iteration 14: SSE = 12908.19,,,,,,Iteration 3: SSE = 16926.09,,,,,,Iteration 4: SSE = 12591.99
Iteration 15: SSE = 12862.57,,,,,,Iteration 4: SSE = 15452.24,,,,,,Iteration 5: SSE = 12477.24
Iteration 16: SSE = 12755.05,,,,,,Iteration 5: SSE = 14854.96,,,,,,Iteration 6: SSE = 12452.78
Iteration 17: SSE = 12720.58,,,,,,Iteration 6: SSE = 14669.4,,,,,,Iteration 7: SSE = 12443.01
Iteration 18: SSE = 12719.95,,,,,,Iteration 7: SSE = 14621.76,,,,,,
,,,,,,Iteration 8: SSE = 14616.63,,,,,,Run 3
Run 2,,,,,,,,,,,,-----
-----,,,,,,Run 3,,,,,,Iteration 1: SSE = 35732.13
Iteration 1: SSE = 36986.38,,,,,,-----,,,,,,Iteration 2: SSE = 16848.88
Iteration 2: SSE = 19235.75,,,,,,Iteration 1: SSE = 35607.86,,,,,,Iteration 3: SSE = 13531.22
Iteration 3: SSE = 16049.23,,,,,,Iteration 2: SSE = 18390.87,,,,,,Iteration 4: SSE = 12591.99
Iteration 4: SSE = 14420.51,,,,,,Iteration 3: SSE = 15117.68,,,,,,Iteration 5: SSE = 12477.24
Iteration 5: SSE = 14158.78,,,,,,Iteration 4: SSE = 13830.16,,,,,,Iteration 6: SSE = 12452.78
Iteration 6: SSE = 13917.32,,,,,,Iteration 5: SSE = 13345.1,,,,,,Iteration 7: SSE = 12443.01
Iteration 7: SSE = 13646.11,,,,,,Iteration 6: SSE = 13017.8,,,,,,
Iteration 8: SSE = 13074.76,,,,,,Iteration 7: SSE = 12144.15,,,,,,Run 4
Iteration 9: SSE = 12957.46,,,,,,Iteration 8: SSE = 11543,,,,,,-----
Iteration 10: SSE = 12886.99,,,,,,Iteration 9: SSE = 11405.79,,,,,,Iteration 1: SSE = 36772.06
Iteration 11: SSE = 12842.69,,,,,,Iteration 10: SSE = 11345.34,,,,,,Iteration 2: SSE = 20984.87
