Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 24264.85,,,,,,Iteration 1: SSE = 22248.04,,,,,,Iteration 1: SSE = 25766.39
Iteration 2: SSE = 17687.82,,,,,,Iteration 2: SSE = 15958.55,,,,,,Iteration 2: SSE = 18353.29
Iteration 3: SSE = 17439.29,,,,,,Iteration 3: SSE = 15064.85,,,,,,Iteration 3: SSE = 16969.12
Iteration 4: SSE = 17366.56,,,,,,Iteration 4: SSE = 14636,,,,,,Iteration 4: SSE = 15486.37
Iteration 5: SSE = 17345.69,,,,,,Iteration 5: SSE = 14375.13,,,,,,Iteration 5: SSE = 14471.03
Iteration 6: SSE = 17339.97,,,,,,Iteration 6: SSE = 14165.03,,,,,,Iteration 6: SSE = 14249.43
,,,,,,Iteration 7: SSE = 13900.56,,,,,,Iteration 7: SSE = 14107.49
Run 2,,,,,,Iteration 8: SSE = 13643.18,,,,,,Iteration 8: SSE = 13735.38
-----,,,,,,Iteration 9: SSE = 13073.42,,,,,,Iteration 9: SSE = 13405.71
Iteration 1: SSE = 19294.03,,,,,,Iteration 10: SSE = 12955.89,,,,,,Iteration 10: SSE = 12827.97
Iteration 2: SSE = 15033.2,,,,,,Iteration 11: SSE = 12887.06,,,,,,Iteration 11: SSE = 12717.25
Iteration 3: SSE = 13973.64,,,,,,Iteration 12: SSE = 12842.69,,,,,,Iteration 12: SSE = 12639.31
Iteration 4: SSE = 12739.47,,,,,,Iteration 13: SSE = 12739.75,,,,,,Iteration 13: SSE = 12588.92
Iteration 5: SSE = 11701.83,,,,,,Iteration 14: SSE = 12707,,,,,,Iteration 14: SSE = 12468.62
Iteration 6: SSE = 11406.05,,,,,,Iteration 15: SSE = 12706.72,,,,,,Iteration 15: SSE = 12420.39
Iteration 7: SSE = 11360.19,,,,,,,,,,,,Iteration 16: SSE = 12409
Iteration 8: SSE = 11262.3,,,,,,Run 2,,,,,,
Iteration 9: SSE = 11229.33,,,,,,-----,,,,,,Run 2
Iteration 10: SSE = 11229.2,,,,,,Iteration 1: SSE = 22248.04,,,,,,-----
,,,,,,Iteration 2: SSE = 15958.55,,,,,,Iteration 1: SSE = 19997.4
Run 3,,,,,,Iteration 3: SSE = 15064.85,,,,,,Iteration 2: SSE = 14374.9
-----,,,,,,Iteration 4: SSE = 14636,,,,,,Iteration 3: SSE = 14040.25
