Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 12693.77,,,,,,Iteration 1: SSE = 12693.77,,,,,,Iteration 1: SSE = 12693.77
Iteration 2: SSE = 9617.072,,,,,,Iteration 2: SSE = 9617.072,,,,,,Iteration 2: SSE = 9617.072
Iteration 3: SSE = 7788.408,,,,,,Iteration 3: SSE = 7788.408,,,,,,Iteration 3: SSE = 7788.408
Iteration 4: SSE = 7574.622,,,,,,Iteration 4: SSE = 7574.622,,,,,,Iteration 4: SSE = 7574.622
Iteration 5: SSE = 7543.64,,,,,,Iteration 5: SSE = 7543.64,,,,,,Iteration 5: SSE = 7543.64
Iteration 6: SSE = 7539.921,,,,,,Iteration 6: SSE = 7539.921,,,,,,Iteration 6: SSE = 7539.921
,,,,,,,,,,,,
Run 2,,,,,,Run 2,,,,,,Run 2
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 12693.77,,,,,,Iteration 1: SSE = 12693.77,,,,,,Iteration 1: SSE = 12693.77
Iteration 2: SSE = 9617.072,,,,,,Iteration 2: SSE = 9617.072,,,,,,Iteration 2: SSE = 9617.072
Iteration 3: SSE = 7788.408,,,,,,Iteration 3: SSE = 7788.408,,,,,,Iteration 3: SSE = 7788.408
Iteration 4: SSE = 7574.622,,,,,,Iteration 4: SSE = 7574.622,,,,,,Iteration 4: SSE = 7574.622
Iteration 5: SSE = 7543.64,,,,,,Iteration 5: SSE = 7543.64,,,,,,Iteration 5: SSE = 7543.64
Iteration 6: SSE = 7539.921,,,,,,Iteration 6: SSE = 7539.921,,,,,,Iteration 6: SSE = 7539.921
,,,,,,,,,,,,
Run 3,,,,,,Run 3,,,,,,Run 3
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 12693.77,,,,,,Iteration 1: SSE = 12693.77,,,,,,Iteration 1: SSE = 12693.77
Iteration 2: SSE = 9617.072,,,,,,Iteration 2: SSE = 9617.072,,,,,,Iteration 2: SSE = 9617.072
Iteration 3: SSE = 7788.408,,,,,,Iteration 3: SSE = 7788.408,,,,,,Iteration 3: SSE = 7788.408
Iteration 4: SSE = 7574.622,,,,,,Iteration 4: SSE = 7574.622,,,,,,Iteration 4: SSE = 7574.622
Iteration 5: SSE = 7543.64,,,,,,Iteration 5: SSE = 7543.64,,,,,,Iteration 5: SSE = 7543.64
Iteration 6: SSE = 7539.921,,,,,,Iteration 6: SSE = 7539.921,,,,,,Iteration 6: SSE = 7539.921
,,,,,,,,,,,,
Run 4,,,,,,Run 4,,,,,,Run 4
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 12693.77,,,,,,Iteration 1: SSE = 12693.77,,,,,,Iteration 1: SSE = 12693.77
Iteration 2: SSE = 9617.072,,,,,,Iteration 2: SSE = 9617.072,,,,,,Iteration 2: SSE = 9617.072
Iteration 3: SSE = 7788.408,,,,,,Iteration 3: SSE = 7788.408,,,,,,Iteration 3: SSE = 7788.408
Iteration 4: SSE = 7574.622,,,,,,Iteration 4: SSE = 7574.622,,,,,,Iteration 4: SSE = 7574.622
Iteration 5: SSE = 7543.64,,,,,,Iteration 5: SSE = 7543.64,,,,,,Iteration 5: SSE = 7543.64
Iteration 6: SSE = 7539.921,,,,,,Iteration 6: SSE = 7539.921,,,,,,Iteration 6: SSE = 7539.921
,,,,,,,,,,,,
Run 5,,,,,,Run 5,,,,,,Run 5
-----,,,,,,-----,,,,,,-----
