Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 16674.62,,,,,,Iteration 1: SSE = 13822.24,,,,,,Iteration 1: SSE = 10312.65
Iteration 2: SSE = 9407.652,,,,,,Iteration 2: SSE = 9247.523,,,,,,Iteration 2: SSE = 7447.89
Iteration 3: SSE = 7303.458,,,,,,Iteration 3: SSE = 7320.52,,,,,,Iteration 3: SSE = 6887.752
Iteration 4: SSE = 6864.205,,,,,,Iteration 4: SSE = 6868.487,,,,,,Iteration 4: SSE = 6737.458
Iteration 5: SSE = 6756.823,,,,,,Iteration 5: SSE = 6806.635,,,,,,Iteration 5: SSE = 6677.808
Iteration 6: SSE = 6714.952,,,,,,Iteration 6: SSE = 6778.224,,,,,,Iteration 6: SSE = 6636.417
Iteration 7: SSE = 6692.566,,,,,,Iteration 7: SSE = 6767.205,,,,,,Iteration 7: SSE = 6627.694
Iteration 8: SSE = 6670.961,,,,,,Iteration 8: SSE = 6755.404,,,,,,Iteration 8: SSE = 6623.916
Iteration 9: SSE = 6650.604,,,,,,Iteration 9: SSE = 6744.384,,,,,,
Iteration 10: SSE = 6639.846,,,,,,Iteration 10: SSE = 6735.87,,,,,,Run 2
Iteration 11: SSE = 6635.406,,,,,,Iteration 11: SSE = 6733.15,,,,,,-----
,,,,,,,,,,,,Iteration 1: SSE = 10312.65
Run 2,,,,,,Run 2,,,,,,Iteration 2: SSE = 7447.89
-----,,,,,,-----,,,,,,Iteration 3: SSE = 6887.752
Iteration 1: SSE = 16674.62,,,,,,Iteration 1: SSE = 13822.24,,,,,,Iteration 4: SSE = 6737.458
Iteration 2: SSE = 9407.652,,,,,,Iteration 2: SSE = 9247.523,,,,,,Iteration 5: SSE = 6677.808
Iteration 3: SSE = 7303.458,,,,,,Iteration 3: SSE = 7320.52,,,,,,Iteration 6: SSE = 6636.417
Iteration 4: SSE = 6864.205,,,,,,Iteration 4: SSE = 6868.487,,,,,,Iteration 7: SSE = 6627.694
Iteration 5: SSE = 6756.823,,,,,,Iteration 5: SSE = 6806.635,,,,,,Iteration 8: SSE = 6623.916
Iteration 6: SSE = 6714.952,,,,,,Iteration 6: SSE = 6778.224,,,,,,
Iteration 7: SSE = 6692.566,,,,,,Iteration 7: SSE = 6767.205,,,,,,Run 3
Iteration 8: SSE = 6670.961,,,,,,Iteration 8: SSE = 6755.404,,,,,,-----
Iteration 9: SSE = 6650.604,,,,,,Iteration 9: SSE = 6744.384,,,,,,Iteration 1: SSE = 10312.65
Iteration 10: SSE = 6639.846,,,,,,Iteration 10: SSE = 6735.87,,,,,,Iteration 2: SSE = 7447.89
Iteration 11: SSE = 6635.406,,,,,,Iteration 11: SSE = 6733.15,,,,,,Iteration 3: SSE = 6887.752
,,,,,,,,,,,,Iteration 4: SSE = 6737.458
Run 3,,,,,,Run 3,,,,,,Iteration 5: SSE = 6677.808
-----,,,,,,-----,,,,,,Iteration 6: SSE = 6636.417
Iteration 1: SSE = 16674.62,,,,,,Iteration 1: SSE = 13822.24,,,,,,Iteration 7: SSE = 6627.694
Iteration 2: SSE = 9407.652,,,,,,Iteration 2: SSE = 9247.523,,,,,,Iteration 8: SSE = 6623.916
Iteration 3: SSE = 7303.458,,,,,,Iteration 3: SSE = 7320.52,,,,,,
Iteration 4: SSE = 6864.205,,,,,,Iteration 4: SSE = 6868.487,,,,,,Run 4
Iteration 5: SSE = 6756.823,,,,,,Iteration 5: SSE = 6806.635,,,,,,-----
